section	year	date	type	content	venue	title	file	source_url
by	2026	2026-07-24	blog-post	full-text	anildash.com	Becoming Skilled at Making Documents	2026--make-better-documents-skill.md	https://anildash.com/2026/07/24/make-better-documents-skill/
by	2026	2026-06-23	blog-post	full-text	anildash.com	How we’ll fight the platform war against Big AI	2026--fight-ai-platform-war.md	https://anildash.com/2026/06/23/fight-ai-platform-war/
by	2026	2026-06-15	blog-post	full-text	anildash.com	Maybe it's time for lots of little indie AIs to take over	2026--indie-ai-takeover.md	https://anildash.com/2026/06/15/indie-AI-takeover/
by	2026	2026-04-30	blog-post	full-text	anildash.com	Why are the Artemis II photos on Flickr?	2026--artemis-photos-flickr.md	https://anildash.com/2026/04/30/artemis-photos-flickr/
by	2026	2026-04-28	blog-post	full-text	anildash.com	(One) Good AI Is Here	2026--one-good-ai-is-here.md	https://anildash.com/2026/04/28/one-good-ai-is-here/
by	2026	2026-04-20	blog-post	full-text	anildash.com	Discovering Prince, Ten Years Later	2026--prince-ten-years.md	https://anildash.com/2026/04/20/prince-ten-years/
by	2026	2026-04-16	blog-post	full-text	anildash.com	The Power of Possibility	2026--girls-club-gala.md	https://anildash.com/2026/04/16/girls-club-gala/
by	2026	2026-04-10	blog-post	full-text	anildash.com	Y2K 2.0: The AI security reckoning	2026--y2k-2-0-ai-security.md	https://anildash.com/2026/04/10/y2k-2.0-ai-security/
by	2026	2026-04-08	blog-post	full-text	anildash.com	When the crisis comes	2026--when-the-crisis-comes.md	https://anildash.com/2026/04/08/when-the-crisis-comes/
by	2026	2026-04-06	blog-post	full-text	anildash.com	Actually, people love to work hard	2026--people-love-to-work-hard.md	https://anildash.com/2026/04/06/people-love-to-work-hard/
by	2026	2026-04-01	blog-post	full-text	anildash.com	On the Vergecast, On Video	2026--vergecast-video.md	https://anildash.com/2026/04/01/vergecast-video/
by	2026	2026-03-31	blog-post	full-text	anildash.com	Defending Privacy, Daily	2026--defending-privacy-daily.md	https://anildash.com/2026/03/31/defending-privacy-daily/
by	2026	2026-03-27	blog-post	full-text	anildash.com	Endgame for the Open Web	2026--endgame-open-web.md	https://anildash.com/2026/03/27/endgame-open-web/
by	2026	2026-03-13	blog-post	full-text	anildash.com	What do coders do after AI?	2026--coders-after-ai.md	https://anildash.com/2026/03/13/coders-after-ai/
by	2026	2026-03-08	blog-post	full-text	anildash.com	The Neo solves Apple’s embarrassment	2026--neo-apple-embarassment.md	https://anildash.com/2026/03/08/neo-apple-embarassment/
by	2026	2026-02-28	blog-post	full-text	anildash.com	Why Apple’s move to video could endanger podcasting's greatest power	2026--apple-video-podcast-power.md	https://anildash.com/2026/02/28/apple-video-podcast-power/
by	2026	2026-02-27	blog-post	full-text	anildash.com	A Cookie for Dario? — Anthropic and selling death	2026--a-cookie-for-dario.md	https://anildash.com/2026/02/27/a-cookie-for-dario/
by	2026	2026-02-26	blog-post	full-text	anildash.com	Talking through the tech reckoning	2026--talking-through-the-tech-reckoning.md	https://anildash.com/2026/02/25/talking-through-the-tech-reckoning/
by	2026	2026-02-23	blog-post	full-text	anildash.com	Taking action against AI harms	2026--taking-action-ai-harms.md	https://anildash.com/2026/02/23/taking-action-ai-harms/
by	2026	2026-02-20	talk-transcript	full-text	Galaxy Brain / The Atlantic	The AI-Panic Cycle—And What's Actually Different Now (transcript)	2026--galaxy-brain-ai-panic-cycle-transcript.md	https://www.theatlantic.com/podcasts/2026/02/the-ai-panic-cycle-and-whats-actually-different-now/686077/
by	2026	2026-02-18	blog-post	full-text	anildash.com	How did we end up threatening our kids’ lives with AI?	2026--threatening-kids-with-ai.md	https://anildash.com/2026/02/18/threatening-kids-with-AI/
by	2026	2026-02-13	blog-post	full-text	anildash.com	Launch it 3 times	2026--launch-it-three-times.md	https://anildash.com/2026/02/13/launch-it-three-times/
by	2026	2026-02-11	blog-post	full-text	anildash.com	Coding agents as the new compilers	2026--coding-agents-as-the-new-compilers.md	https://anildash.com/2026/02/11/coding-agents-as-the-new-compilers/
by	2026	2026-02-06	blog-post	full-text	anildash.com	There's no such thing as "tech" (Ten years later)	2026--no-such-thing-as-tech.md	https://anildash.com/2026/02/06/no-such-thing-as-tech/
by	2026	2026-02-03	blog-post	full-text	anildash.com	New York Tech at 30: the Crossroads	2026--nye-tech-30.md	https://anildash.com/2026/02/03/nye-tech-30/
by	2026	2026-01-27	blog-post	full-text	anildash.com	A Codeless Ecosystem, or hacking beyond vibe coding	2026--codeless-ecosystem.md	https://anildash.com/2026/01/27/codeless-ecosystem/
by	2026	2026-01-26	blog-post	full-text	anildash.com	Why We Speak	2026--why-we-speak.md	https://anildash.com/2026/01/26/why-we-speak/
by	2026	2026-01-22	blog-post	full-text	anildash.com	Codeless: From idea to software	2026--codeless.md	https://anildash.com/2026/01/22/codeless/
by	2026	2026-01-15	blog-post	full-text	anildash.com	Wikipedia at 25: What the web can be	2026--wikipedia-at-25.md	https://anildash.com/2026/01/15/wikipedia-at-25/
by	2026	2026-01-12	blog-post	full-text	anildash.com	How to know if that job will crush your soul	2026--will-that-job-crush-your-soul.md	https://anildash.com/2026/01/12/will-that-job-crush-your-soul/
by	2026	2026-01-09	blog-post	full-text	anildash.com	How Markdown took over the world	2026--how-markdown-took-over-the-world.md	https://anildash.com/2026/01/09/how-markdown-took-over-the-world/
by	2026	2026-01-06	interview	full-text	Gazetteer SF	'They've pickled each others' brains'	2026--gazetteer-sf-pickled-each-others-brains.md	https://sf.gazetteer.co/theyve-pickled-each-others-brains
by	2026	2026-01-06	blog-post	full-text	anildash.com	500,000 tech workers have been laid off since ChatGPT was released	2026--500k-tech-workers-laid-off.md	https://anildash.com/2026/01/06/500k-tech-workers-laid-off/
by	2026	2026-01-05	blog-post	full-text	anildash.com	How the hell are you supposed to have a career in tech in 2026?	2026--a-tech-career-in-2026.md	https://anildash.com/2026/01/05/a-tech-career-in-2026/
by	2025	2025-12-08	blog-post	full-text	anildash.com	What about “Nothing about us without us?”	2025--what-about-nothing-about-us.md	https://anildash.com/2025/12/08/what-about-nothing-about-us/
by	2025	2025-12-05	blog-post	full-text	anildash.com	They have to be able to talk about us without us	2025--talk-about-us-without-us.md	https://anildash.com/2025/12/05/talk-about-us-without-us/
by	2025	2025-12-02	blog-post	full-text	anildash.com	Vibe Coding: Empowering and Imprisoning	2025--vibe-coding-empowering-and-imprisoning.md	https://anildash.com/2025/12/02/vibe-coding-empowering-and-imprisoning/
by	2025	2025-11-14	blog-post	full-text	anildash.com	I know you don’t want them to want AI, but…	2025--wanting-not-to-want-ai.md	https://anildash.com/2025/11/14/wanting-not-to-want-ai/
by	2025	2025-11-05	blog-post	full-text	anildash.com	Turn the volume up.	2025--turn-the-volume-up.md	https://anildash.com/2025/11/05/turn-the-volume-up/
by	2025	2025-10-24	blog-post	full-text	anildash.com	Founders Over Funders. Inventors Over Investors.	2025--founders-over-funders.md	https://anildash.com/2025/10/24/founders-over-funders/
by	2025	2025-10-22	blog-post	full-text	anildash.com	ChatGPT's Atlas: The Browser That's Anti-Web	2025--atlas-anti-web-browser.md	https://anildash.com/2025/10/22/atlas-anti-web-browser/
by	2025	2025-10-17	blog-post	full-text	anildash.com	The Majority AI View	2025--the-majority-ai-view.md	https://anildash.com/2025/10/17/the-majority-ai-view/
by	2025	2025-10-07	blog-post	full-text	anildash.com	The Unexpected New Threat to Video Creators	2025--the-threat-to-video-creators.md	https://anildash.com/2025/10/06/the-threat-to-video-creators/
by	2025	2025-10-07	blog-post	full-text	anildash.com	The “Don’t Ask, Don’t Tell” Era of DEI	2025--dadt-dei.md	https://anildash.com/2025/10/07/dadt-dei/
by	2025	2025-09-29	blog-post	full-text	anildash.com	The Emancipation of the Chris Gaines of Mimi	2025--mariah-chick-chris-gaines.md	https://anildash.com/2025/09/29/mariah-chick-chris-gaines/
by	2025	2025-09-18	blog-post	full-text	anildash.com	The "Taylor's Version" generation is not gonna let Big AI steal her stuff	2025--the-taylors-version-generation.md	https://anildash.com/2025/09/18/the-taylors-version-generation/
by	2025	2025-09-17	blog-post	full-text	anildash.com	A Way We Were	2025--a-way-we-were.md	https://anildash.com/2025/09/17/a-way-we-were/
by	2025	2025-09-11	blog-post	full-text	anildash.com	24 is After the Fall	2025--24-is-after-the-fall.md	https://anildash.com/2025/09/11/24-is-after-the-fall/
by	2025	2025-09-09	blog-post	full-text	anildash.com	How Tim Cook sold out Steve Jobs	2025--how-tim-cook-sold-out-steve-jobs.md	https://anildash.com/2025/09/09/how-tim-cook-sold-out-steve-jobs/
by	2025	2025-09-05	blog-post	full-text	anildash.com	Five for 50	2025--five-for-fifty.md	https://anildash.com/2025/09/05/five-for-fifty/
by	2025	2025-08-20	blog-post	full-text	anildash.com	Zohran Mamdani is the leader NYC needs for innovation and entrepreneurship	2025--zohran-mamdani-is-the-nyc-innovation-leader.md	https://anildash.com/2025/08/19/zohran-mamdani-is-the-nyc-innovation-leader/
by	2025	2025-08-20	blog-post	full-text	anildash.com	Moguls Moving Money Isn’t the Same as Building a Business	2025--moving-money-ain-t-building-a-business.md	https://anildash.com/2025/08/20/moving-money-ain’t-building-a-business/
by	2025	2025-07-17	talk-transcript	full-text	Intelligent Machines / TWiT.tv	Intelligent Machines 828: Stochastic Carrots — Navigating the Future of AI (transcript)	2025--twit-intelligent-machines-828-transcript.md	https://twit.tv/posts/transcripts/intelligent-machines-828-transcript
by	2025	2025-07-16	blog-post	full-text	anildash.com	Exit the Wu	2025--exit-the-wu.md	https://anildash.com/2025/07/16/exit-the-wu/
by	2025	2025-06-11	blog-post	full-text	anildash.com	It's Time for Something New	2025--time-for-something-new.md	https://anildash.com/2025/06/11/time-for-something-new/
by	2025	2025-06-10	blog-post	full-text	anildash.com	Sly Stone and the Scariest Show Ever	2025--sly-stone-scariest-show.md	https://anildash.com/2025/06/09/sly-stone-scariest-show/
by	2025	2025-05-29	blog-post	full-text	anildash.com	Who washes their hands?	2025--who-is-clean.md	https://anildash.com/2025/05/29/who-is-clean/
by	2025	2025-05-27	blog-post	full-text	anildash.com	The Internet of Consent	2025--internet-of-consent.md	https://anildash.com/2025/05/27/internet-of-consent/
by	2025	2025-05-23	blog-post	full-text	anildash.com	The Crafters of “Andor”	2025--the-crafters-of-andor.md	https://anildash.com/2025/05/22/the-crafters-of-andor/
by	2025	2025-05-22	blog-post	full-text	Glitch blog (blog.glitch.com; formerly Fog Creek)	Important Changes are Coming to Glitch	2025--glitch-changes-are-coming-to-glitch.md	https://blog.glitch.com/post/changes-are-coming-to-glitch/
by	2025	2025-05-20	blog-post	full-text	anildash.com	MCP is the coming of Web 2.0 2.0	2025--mcp-web20-20.md	https://anildash.com/2025/05/20/mcp-web20-20/
by	2025	2025-05-02	blog-post	full-text	anildash.com	What Would “Good” AI Look Like?	2025--what-would-good-ai-look-like.md	https://anildash.com/2025/05/01/what-would-good-ai-look-like/
by	2025	2025-04-30	blog-post	full-text	anildash.com	"AI-first" is the new Return To Office	2025--ai-first-is-the-new-return-to-office.md	https://anildash.com/2025/04/29/ai-first-is-the-new-return-to-office/
by	2025	2025-04-10	blog-post	full-text	anildash.com	It's time for Dolly to record that long-lost Prince song.	2025--dolly-prince-rescue-me.md	https://anildash.com/2025/04/10/dolly-prince-rescue-me/
by	2025	2025-03-27	blog-post	full-text	anildash.com	A Bug Report is a Gift	2025--a-bug-report-is-a-gift.md	https://anildash.com/2025/03/27/a-bug-report-is-a-gift/
by	2025	2025-03-13	blog-post	full-text	Glitch blog (blog.glitch.com; formerly Fog Creek)	Do you remember why we named this thing Glitch?	2025--glitch-why-we-named-this-glitch.md	https://blog.glitch.com/post/why-we-named-this-glitch/
by	2025	2025-01-04	blog-post	full-text	anildash.com	Understanding DOGE as Procurement Capture	2025--doge-procurement-capture.md	https://anildash.com/2025/01/04/DOGE-procurement-capture/
by	2024	2024-11-30	blog-post	full-text	anildash.com	Lessons learned from burning things.	2024--making-fire.md	https://anildash.com/2024/11/30/making-fire/
by	2024	2024-11-19	blog-post	full-text	anildash.com	Don't call it a Substack.	2024--dont-call-it-a-substack.md	https://anildash.com/2024/11/19/dont-call-it-a-substack/
by	2024	2024-10-15	blog-post	full-text	anildash.com	It feels like 2004 again.	2024--its-2004-again.md	https://anildash.com/2024/10/15/its-2004-again/
by	2024	2024-09-15	blog-post	full-text	anildash.com	How I got pitched by Anna Delvey	2024--anna-delvey-pitch.md	https://anildash.com/2024/09/15/anna-delvey-pitch/
by	2024	2024-09-11	blog-post	full-text	anildash.com	23: What was 9/11?	2024--23-what-was-911.md	https://anildash.com/2024/09/11/23-what-was-911/
by	2024	2024-08-31	blog-post	full-text	anildash.com	How Oprah will screw up the AI story	2024--oprah-wrong-ai.md	https://anildash.com/2024/08/31/oprah-wrong-ai/
by	2024	2024-07-02	blog-post	full-text	anildash.com	Systems: How the Ultra-Wealthy Think About Money	2024--money-flows.md	https://anildash.com/2024/07/02/money-flows/
by	2024	2024-06-20	blog-post	full-text	anildash.com	Systems: What does a board of directors do?	2024--dash-board.md	https://anildash.com/2024/06/20/dash-board/
by	2024	2024-06-14	blog-post	full-text	anildash.com	The New Alt Media and the Future of Publishing	2024--the-new-alt-media.md	https://anildash.com/2024/06/14/the-new-alt-media/
by	2024	2024-05-28	blog-post	full-text	anildash.com	Systems: The Purpose of a System is What It Does	2024--systems-the-purpose-of-a-system.md	https://anildash.com/2024/05/28/systems-the-purpose-of-a-system/
by	2024	2024-04-08	blog-post	full-text	anildash.com	Systems: What warms the heart?	2024--systems-heartwarming-stories.md	https://anildash.com/2024/04/08/systems-heartwarming-stories/
by	2024	2024-03-20	blog-post	full-text	Glitch blog (blog.glitch.com; formerly Fog Creek)	Playing about playing	2024--glitch-playing-about-playing.md	https://blog.glitch.com/post/playing-about-playing/
by	2024	2024-03-11	blog-post	full-text	anildash.com	Prince, Letterman and Insufferability	2024--prince-and-letterman.md	https://anildash.com/2024/03/11/prince-and-letterman/
by	2024	2024-03-10	blog-post	full-text	anildash.com	Make better documents.	2024--make-better-documents.md	https://anildash.com/2024/03/10/make-better-documents/
by	2024	2024-02-05	blog-post	full-text	anildash.com	“Wherever you get your podcasts” is a radical statement.	2024--wherever-you-get-podcasts.md	https://anildash.com/2024/02/05/wherever-you-get-podcasts/
by	2024	2024-01-19	blog-post	full-text	anildash.com	Personal blogs are where tech news happens.	2024--personal-blogs-tech-news.md	https://anildash.com/2024/01/19/personal-blogs-tech-news/
by	2024	2024-01-02	blog-post	full-text	anildash.com	The Web Renaissance takes off	2024--human-web-renaissance.md	https://anildash.com/2024/01/02/human-web-renaissance/
by	2023	2023-11-10	blog-post	full-text	anildash.com	That goddamn mug	2023--that-goddamn-mug.md	https://anildash.com/2023/11/10/that-goddamn-mug/
by	2023	2023-11-06	op-ed	full-text	Rolling Stone	The Internet Is About to Get Weird Again	2023--rolling-stone-internet-weird-again.md	https://www.rollingstone.com/culture/culture-commentary/internet-future-about-to-get-weird-1234938403/
by	2023	2023-09-11	blog-post	full-text	anildash.com	It's unrecognizable	2023--its-unrecognizable.md	https://anildash.com/2023/09/11/its-unrecognizable/
by	2023	2023-08-08	blog-post	full-text	anildash.com	I am the answer to the Single Puzzle.	2023--i-am-the-answer-to-the-single-puzzle.md	https://anildash.com/2023/08/08/i-am-the-answer-to-the-single-puzzle/
by	2023	2023-07-07	blog-post	full-text	anildash.com	"VC qanon" and the radicalization of the tech tycoons	2023--vc-qanon.md	https://anildash.com/2023/07/07/vc-qanon/
by	2023	2023-06-08	blog-post	full-text	anildash.com	Today's AI is unreasonable.	2023--ai-is-unreasonable.md	https://anildash.com/2023/06/08/ai-is-unreasonable/
by	2023	2023-04-18	blog-post	full-text	anildash.com	What was selling out?	2023--what-was-selling-out.md	https://anildash.com/2023/04/18/what-was-selling-out/
by	2023	2023-04-03	blog-post	full-text	Glitch blog (blog.glitch.com; formerly Fog Creek)	“Yes Code” is how coding evolves with AI	2023--glitch-yes-code-coding-with-ai.md	https://blog.glitch.com/post/yes-code-coding-with-ai/
by	2023	2023-03-01	blog-post	full-text	anildash.com	Never Do Without You: Adding the seasoning	2023--never-do-without-you.md	https://anildash.com/2023/03/01/never-do-without-you/
by	2023	2023-02-27	blog-post	full-text	anildash.com	The tech tycoon martyrdom charade	2023--tycoon-martyrdom-charade.md	https://anildash.com/2023/02/27/tycoon-martyrdom-charade/
by	2023	2023-01-16	blog-post	full-text	anildash.com	How you could build a search that the fediverse would welcome	2023--a-fediverse-search.md	https://anildash.com/2023/01/16/a-fediverse-search/
by	2022	2022-11-15	blog-post	full-text	anildash.com	Cook These Two Things	2022--cook-these-two-things.md	https://anildash.com/2022/11/15/cook-these-two-things/
by	2022	2022-09-11	blog-post	full-text	anildash.com	There is nothing to remember.	2022--there-is-nothing-to-remember.md	https://anildash.com/2022/09/11/there-is-nothing-to-remember/
by	2022	2022-07-18	blog-post	full-text	anildash.com	I went to a coffee shop.	2022--i-went-to-a-coffee-shop.md	https://anildash.com/2022/07/18/i-went-to-a-coffee-shop/
by	2022	2022-06-24	blog-post	full-text	anildash.com	Ending Healthcare	2022--ending-healthcare.md	https://anildash.com/2022/06/24/ending-healthcare/
by	2022	2022-06-02	blog-post	full-text	anildash.com	I am the answer to the Rites of Spring Puzzle	2022--i-am-the-answer-to-the-rites-of-spring-puzzle.md	https://anildash.com/2022/06/02/i-am-the-answer-to-the-rites-of-spring-puzzle/
by	2022	2022-05-20	blog-post	full-text	anildash.com	I am the answer to The Sexual Tension Puzzle	2022--i-am-the-answer-to-the-sexual-tension-puzzle.md	https://anildash.com/2022/05/20/i-am-the-answer-to-the-sexual-tension-puzzle/
by	2022	2022-05-17	blog-post	full-text	anildash.com	Everything U Think Is True	2022--everything-u-think-is-true.md	https://anildash.com/2022/05/16/everything-u-think-is-true/
by	2022	2022-05-03	talk-transcript	full-text	EFF — How to Fix the Internet	Podcast Episode: Wordle and the Web We Need (transcript)	2022--eff-wordle-and-the-web-we-need-transcript.md	https://www.eff.org/deeplinks/2022/05/podcast-episode-wordle-and-web-we-need
by	2022	2022-04-22	blog-post	full-text	anildash.com	The content moderation battle is a failure of innovation	2022--the-content-moderation-battle-is-a-failure-of-innovation.md	https://anildash.com/2022/04/21/the-content-moderation-battle-is-a-failure-of-innovation/
by	2022	2022-04-13	blog-post	full-text	anildash.com	A Web Renaissance	2022--a-web-renaissance.md	https://anildash.com/2022/04/13/a-web-renaissance/
by	2022	2022-04-06	blog-post	full-text	anildash.com	Community Safety and Ignoring the World	2022--off-platform-knowledge.md	https://anildash.com/2022/04/06/off-platform-knowledge/
by	2022	2022-02-09	blog-post	full-text	anildash.com	That broken tech/content culture cycle	2022--the-stupid-tech-content-culture-cycle.md	https://anildash.com/2022/02/09/the-stupid-tech-content-culture-cycle/
by	2022	2022-01-31	blog-post	full-text	anildash.com	You have to start with the principle.	2022--you-have-to-start-with-the-principle.md	https://anildash.com/2022/01/31/you-have-to-start-with-the-principle/
by	2022	2022-01-28	blog-post	full-text	Glitch blog (blog.glitch.com; formerly Fog Creek)	Let's build the open metaverse	2022--glitch-open-metaverse-on-glitch-com.md	https://blog.glitch.com/post/open-metaverse-on-glitch-com/
by	2022	2022-01-17	blog-post	full-text	anildash.com	How Stevie Celebrates a Birthday	2022--how-stevie-celebrated-a-birthday.md	https://anildash.com/2022/01/17/how-stevie-celebrated-a-birthday/
by	2022	2022-01-07	blog-post	full-text	Glitch blog (blog.glitch.com; formerly Fog Creek)	Wordle Mania and the Remixable Web	2022--glitch-wordle-mania-and-the-remixable-web.md	https://blog.glitch.com/post/wordle-mania-and-the-remixable-web/
by	2021	2021-12-23	blog-post	full-text	anildash.com	Tech I'm Watching in 2022	2021--tech-im-watching-for-2022.md	https://anildash.com/2021/12/23/tech-im-watching-for-2022/
by	2021	2021-11-19	blog-post	full-text	Glitch blog (blog.glitch.com; formerly Fog Creek)	How we keep Glitch sites secure and trusted	2021--glitch-keeping-glitch-sites-secure-and-trusted.md	https://blog.glitch.com/post/keeping-glitch-sites-secure-and-trusted/
by	2021	2021-11-19	interview	full-text	Embedded (Substack)	My Internet: Anil Dash	2021--embedded-my-internet-anil-dash.md	https://embedded.substack.com/p/my-internet-anil-dash
by	2021	2021-11-15	blog-post	full-text	anildash.com	On "inventing NFTs" and how we don't have any good way to talk about tech	2021--i-didnt-invent-nfts-but-we-dont-really-have-any-other-way-to.md	https://anildash.com/2021/11/14/i-didnt-invent-nfts-but-we-dont-really-have-any-other-way-to-talk-about-tech/
by	2021	2021-11-11	blog-post	full-text	anildash.com	What to know about the 2021 M1 MacBook Pro	2021--what-to-know-about-the-2021-m1-macbook-pro.md	https://anildash.com/2021/11/11/what-to-know-about-the-2021-m1-macbook-pro/
by	2021	2021-09-30	blog-post	full-text	anildash.com	Burners, Pollution,  Control & Privacy By A Thousand Cuts	2021--prying-email.md	https://anildash.com/2021/09/30/prying-email/
by	2021	2021-09-26	blog-post	full-text	anildash.com	Cooperative Overlap	2021--cooperative-overlap.md	https://anildash.com/2021/09/25/cooperative-overlap/
by	2021	2021-09-18	blog-post	full-text	anildash.com	The Spreadsheet of Prince Recordings	2021--the-spreadsheet-of-prince-recordings.md	https://anildash.com/2021/09/17/the-spreadsheet-of-prince-recordings/
by	2021	2021-09-11	blog-post	full-text	anildash.com	Twenty Is Myth	2021--twenty-is-myth.md	https://anildash.com/2021/09/11/twenty-is-myth/
by	2021	2021-08-16	blog-post	full-text	anildash.com	Getting Embedded	2021--getting-embedded.md	https://anildash.com/2021/08/16/getting-embedded/
by	2021	2021-08-12	blog-post	full-text	anildash.com	Then, Now	2021--then-now.md	https://anildash.com/2021/08/11/then-now/
by	2021	2021-08-05	blog-post	full-text	anildash.com	The Code Behind The Code	2021--the-code-behind-the-code.md	https://anildash.com/2021/08/05/the-code-behind-the-code/
by	2021	2021-06-15	blog-post	full-text	Glitch blog (blog.glitch.com; formerly Fog Creek)	What do we mean by "simple"?	2021--glitch-what-kind-of-simple.md	https://blog.glitch.com/post/what-kind-of-simple/
by	2021	2021-06-14	blog-post	full-text	Glitch blog (blog.glitch.com; formerly Fog Creek)	Trying to end "Stack Anxiety"	2021--glitch-ending-stack-anxiety.md	https://blog.glitch.com/post/ending-stack-anxiety/
by	2021	2021-05-21	blog-post	full-text	anildash.com	Verifiably True	2021--verifiably-true.md	https://anildash.com/2021/05/20/verifiably-true/
by	2021	2021-04-16	talk-transcript	full-text	On the Media / WNYC	A Tech Pioneer Reckons With the NFT Craze He Helped Create (transcript)	2021--on-the-media-nft-inventor-reckons-transcript.md	https://www.wnycstudios.org/podcasts/otm/segments/nft-inventor-reckons-industry-he-created-on-the-media
by	2021	2021-04-05	blog-post	full-text	anildash.com	Not For Tourists: Attribution,  Provenance and Harm Reduction	2021--nfts-attribution-credit-provenance-harm-reduction.md	https://anildash.com/2021/04/05/nfts-attribution-credit-provenance-harm-reduction/
by	2021	2021-04-02	essay	full-text	The Atlantic	NFTs Weren't Supposed to End Like This	2021--atlantic-nfts-werent-supposed-to-end-like-this.md	https://www.theatlantic.com/ideas/archive/2021/04/nfts-werent-supposed-end-like/618488/
by	2021	2021-02-25	blog-post	full-text	anildash.com	Design Choices of Breath of the Wild	2021--the-design-of-breath-of-the-wild.md	https://anildash.com/2021/02/25/the-design-of-breath-of-the-wild/
by	2021	2021-02-05	blog-post	full-text	anildash.com	How Prince won the Super Bowl	2021--how-prince-won-the-super-bowl.md	https://anildash.com/2021/02/04/how-prince-won-the-super-bowl/
by	2021	2021-01-28	blog-post	full-text	anildash.com	Getting Comfortable with Robin Byrd	2021--getting-comfortable-with-robin-byrd.md	https://anildash.com/2021/01/28/getting-comfortable-with-robin-byrd/
by	2021	2021-01-16	talk-transcript	full-text	The War on Cars (podcast)	Episode 56: Humane Streets with Anil Dash (transcript)	2021--war-on-cars-humane-streets-transcript.md	https://thewaroncars.org/episode-56-humane-streets-with-anil-dash-final-web-transcript/
by	2021	2021-01-16	blog-post	full-text	anildash.com	The War on Cars!	2021--the-war-on-cars.md	https://anildash.com/2021/01/15/the-war-on-cars/
by	2021	2021-01-12	blog-post	full-text	anildash.com	Dule Rockerrr	2021--dule-rockerrr.md	https://anildash.com/2021/01/12/dule-rockerrr/
by	2021	2021-01-07	blog-post	full-text	anildash.com	The Death Cult Stages a Coup	2021--the-death-cult-coup.md	https://anildash.com/2021/01/07/the-death-cult-coup/
by	2021	2021-01-06	blog-post	full-text	anildash.com	Making Things, Fast	2021--making-things-fast.md	https://anildash.com/2021/01/06/making-things-fast/
by	2021	2021-01-05	blog-post	full-text	anildash.com	Exploring Moynihan Station	2021--moynihan-station.md	https://anildash.com/2021/01/04/moynihan-station/
by	2021	2021-01-04	blog-post	full-text	anildash.com	Recommended: Ted Lasso	2021--recommended-ted-lasso.md	https://anildash.com/2021/01/04/recommended-ted-lasso/
by	2021	2021-01-03	blog-post	full-text	anildash.com	Keeping Tabs on your Abstractions	2021--keeping-tabs-on-your-abstractions.md	https://anildash.com/2021/01/03/keeping-tabs-on-your-abstractions/
by	2021	2021-01-02	blog-post	full-text	anildash.com	Every Day is a Follow Friday	2021--every-day-is-a-follow-friday.md	https://anildash.com/2021/01/02/every-day-is-a-follow-friday/
by	2020	2020-12-31	blog-post	full-text	anildash.com	A Personal Digital Reset	2020--a-personal-digital-reset.md	https://anildash.com/2020/12/31/a-personal-digital-reset/
by	2020	2020-12-10	blog-post	full-text	Glitch blog (blog.glitch.com; formerly Fog Creek)	A Google Docs for Markdown	2020--glitch-google-docs-markdown-glitch.md	https://blog.glitch.com/post/google-docs-markdown-glitch/
by	2020	2020-09-11	blog-post	full-text	anildash.com	Nineteen is When They Forgot	2020--nineteen-is-when-they-forgot.md	https://anildash.com/2020/09/11/nineteen-is-when-they-forgot/
by	2020	2020-08-25	blog-post	full-text	anildash.com	What Windows 95 Changed	2020--what-windows-95-changed.md	https://anildash.com/2020/08/25/what-windows-95-changed/
by	2020	2020-08-21	blog-post	full-text	anildash.com	I’m Asking My Friends on the Left to Vote for Joe Biden	2020--im-asking-my-friends-on-the-left-to-vote-for-joe-biden.md	https://anildash.com/2020/08/21/im-asking-my-friends-on-the-left-to-vote-for-joe-biden/
by	2020	2020-07-21	blog-post	full-text	anildash.com	A Federal Blue Checkmark, and Not Learning Lessons	2020--a-federal-blue-checkmark-wont-solve-online-speech-obviously.md	https://anildash.com/2020/07/21/a-federal-blue-checkmark-wont-solve-online-speech-obviously/
by	2020	2020-07-12	blog-post	full-text	anildash.com	The American Death Cult	2020--the-american-death-cult.md	https://anildash.com/2020/07/11/the-american-death-cult/
by	2020	2020-06-24	blog-post	full-text	anildash.com	Beyond the Frontier	2020--beyond-the-frontier.md	https://anildash.com/2020/06/24/beyond-the-frontier/
by	2020	2020-06-02	blog-post	full-text	Glitch blog (blog.glitch.com; formerly Fog Creek)	Taking Action to Protect Black Lives	2020--glitch-black-lives-matter.md	https://blog.glitch.com/post/black-lives-matter/
by	2020	2020-05-14	blog-post	full-text	anildash.com	Prince & The Revolution: The COVID-19 Solidarity Response Fund Livestream	2020--live-prince-and-the-revolution.md	https://anildash.com/2020/05/13/live-prince-and-the-revolution/
by	2020	2020-05-07	blog-post	full-text	anildash.com	When Every App Crashes	2020--when-everything-crashes.md	https://anildash.com/2020/05/07/when-everything-crashes/
by	2020	2020-05-05	essay	full-text	Medium	“No Code”​ is great. But here’s why we need _Yes_ Code.	2020--medium-no-code-is-great-but-heres-why-we-need-yes-code.md	https://medium.com/@anildash/no-code-is-great-but-heres-why-we-need-yes-code-c5f6fd615a51
by	2020	2020-04-22	blog-post	full-text	anildash.com	Questlove's Prince Tribute	2020--questloves-prince-tribute.md	https://anildash.com/2020/04/22/questloves-prince-tribute/
