section	year	date	type	content	venue	title	file	source_url
by	2012	2012-06-04	blog-post	full-text	anildash.com	Racist Culture is a Factory Defect	2012--racist-culture-is-a-factory-defect.md	https://anildash.com/2012/06/04/racist-culture-is-a-factory-defect/
by	2012	2012-05-29	blog-post	full-text	anildash.com	The Decade-Long Campaign to Lock Down Your Computer	2012--the-decade-long-campaign-to-lock-down-your-computer.md	https://anildash.com/2012/05/29/the-decade-long-campaign-to-lock-down-your-computer/
by	2012	2012-05-07	op-ed	full-text	Wired	Safe in Its Shell	2012--wired-safe-in-its-shell.md	https://www.wired.com/2012/05/opinion-dash-applesecurity/
by	2012	2012-05-02	blog-post	full-text	anildash.com	How To Fix Popchips' Racist Ad Campaign	2012--fixing-popchips.md	https://anildash.com/2012/05/02/fixing-popchips/
by	2012	2012-04-30	blog-post	full-text	anildash.com	Why you can't trust tech press to teach you about the tech industry	2012--why-you-cant-trust-tech-press-to-teach-you-about-the-tech-in.md	https://anildash.com/2012/04/30/why-you-cant-trust-tech-press-to-teach-you-about-the-tech-industry/
by	2012	2012-04-16	blog-post	full-text	anildash.com	A Note About Panther Pride	2012--a-note-about-panther-pride.md	https://anildash.com/2012/04/16/a-note-about-panther-pride/
by	2012	2012-04-01	blog-post	full-text	anildash.com	Readability, Instapaper, the Network and the Price we Pay	2012--readability-instapaper-the-network-and-the-price-we-pay.md	https://anildash.com/2012/04/01/readability-instapaper-the-network-and-the-price-we-pay/
by	2012	2012-03-29	blog-post	full-text	anildash.com	A Golden Era of Prince Scholarship	2012--a-golden-era-of-prince-scholarship.md	https://anildash.com/2012/03/28/a-golden-era-of-prince-scholarship/
by	2012	2012-03-26	blog-post	full-text	anildash.com	Expert Labs Ends and ThinkUp Begins	2012--expert-labs-ends-and-thinkup-begins.md	https://anildash.com/2012/03/26/expert-labs-ends-and-thinkup-begins/
by	2012	2012-03-14	blog-post	full-text	anildash.com	We Have To Make The Web We Want	2012--we-have-to-make-the-web-we-want.md	https://anildash.com/2012/03/14/we-have-to-make-the-web-we-want/
by	2012	2012-03-06	blog-post	full-text	anildash.com	Evolving Blogging	2012--evolving-blogging.md	https://anildash.com/2012/03/06/evolving-blogging/
by	2012	2012-03-05	blog-post	full-text	anildash.com	Captive Atria and Living In Public	2012--captive-atria-and-living-in-public.md	https://anildash.com/2012/03/05/captive-atria-and-living-in-public/
by	2012	2012-02-24	blog-post	full-text	anildash.com	Politics is a Business. A Big, Broken One. Let's Fix It.	2012--politics-is-a-business-a-big-broken-one.md	https://anildash.com/2012/02/24/politics-is-a-business-a-big-broken-one/
by	2012	2012-02-14	blog-post	full-text	anildash.com	Eddie, Then and Now	2012--eddie-then-and-now.md	https://anildash.com/2012/02/13/eddie-then-and-now/
by	2012	2012-02-06	blog-post	full-text	anildash.com	The Right Wing's $7 Billion Media Subsidy	2012--the-right-wings-7-billion-media-subsidy.md	https://anildash.com/2012/02/06/the-right-wings-7-billion-media-subsidy/
by	2012	2012-01-19	blog-post	full-text	anildash.com	The History, and Future, of Web Protest	2012--the-history-and-future-of-web-protest.md	https://anildash.com/2012/01/18/the-history-and-future-of-web-protest/
by	2012	2012-01-09	blog-post	full-text	anildash.com	Responses and Replies	2012--responses-and-replies.md	https://anildash.com/2012/01/09/responses-and-replies/
by	2012	2012-01-03	blog-post	full-text	anildash.com	Foursquare: Today's best-executing startup	2012--foursquare-todays-best-executing-startup.md	https://anildash.com/2012/01/03/foursquare-todays-best-executing-startup/
by	2011	2011-12-21	blog-post	full-text	anildash.com	3D Printing, Teleporters and Wishes	2011--3d-printing-teleporters-and-wishes.md	https://anildash.com/2011/12/21/3d-printing-teleporters-and-wishes/
by	2011	2011-12-15	blog-post	full-text	anildash.com	Bootstrap Rising	2011--bootstrap-rising.md	https://anildash.com/2011/12/15/bootstrap-rising/
