date	title	url	tags
2025-09-09	How Tim Cook sold out Steve Jobs	https://anildash.com/2025/09/09/how-tim-cook-sold-out-steve-jobs/	apple|policy|tech|tim cook
2025-09-05	Five for 50	https://anildash.com/2025/09/05/five-for-fifty/	personal
2025-08-20	Zohran Mamdani is the leader NYC needs for innovation and entrepreneurship	https://anildash.com/2025/08/19/zohran-mamdani-is-the-nyc-innovation-leader/	entrepreneurship|nyc|tech|innovation|business
2025-08-20	Moguls Moving Money Isn’t the Same as Building a Business	https://anildash.com/2025/08/20/moving-money-ain’t-building-a-business/	business|entrepreneurship|nyc|tech|innovation
2025-07-16	Exit the Wu	https://anildash.com/2025/07/16/exit-the-wu/	music|zohran mamdani|hip hop
2025-06-11	It's Time for Something New	https://anildash.com/2025/06/11/time-for-something-new/	policy|tech|community|personal|nyc
2025-06-10	Sly Stone and the Scariest Show Ever	https://anildash.com/2025/06/09/sly-stone-scariest-show/	funk|janet jackson|music|prince
2025-05-29	Who washes their hands?	https://anildash.com/2025/05/29/who-is-clean/	culture|race
2025-05-27	The Internet of Consent	https://anildash.com/2025/05/27/internet-of-consent/	ai|internet|web|privacy|consent
2025-05-23	The Crafters of “Andor”	https://anildash.com/2025/05/22/the-crafters-of-andor/	film|star wars|television|media
2025-05-20	MCP is the coming of Web 2.0 2.0	https://anildash.com/2025/05/20/mcp-web20-20/	ai|tech|web|coding
2025-05-02	What Would “Good” AI Look Like?	https://anildash.com/2025/05/01/what-would-good-ai-look-like/	ai|tech|silicon valley|consent
2025-04-30	"AI-first" is the new Return To Office	https://anildash.com/2025/04/29/ai-first-is-the-new-return-to-office/	ai|tech|culture|venture capital
2025-04-10	It's time for Dolly to record that long-lost Prince song.	https://anildash.com/2025/04/10/dolly-prince-rescue-me/	music|prince
2025-03-27	A Bug Report is a Gift	https://anildash.com/2025/03/27/a-bug-report-is-a-gift/	code|community|tech|podcast|management
2025-01-04	Understanding DOGE as Procurement Capture	https://anildash.com/2025/01/04/DOGE-procurement-capture/	government|policy|most popular
2024-11-30	Lessons learned from burning things.	https://anildash.com/2024/11/30/making-fire/	writing|personal
2024-11-19	Don't call it a Substack.	https://anildash.com/2024/11/19/dont-call-it-a-substack/	blogs|internet|tech|email|most popular
2024-10-15	It feels like 2004 again.	https://anildash.com/2024/10/15/its-2004-again/	internet|web|innovation
2024-09-15	How I got pitched by Anna Delvey	https://anildash.com/2024/09/15/anna-delvey-pitch/	nyc|tech
2024-09-11	23: What was 9/11?	https://anildash.com/2024/09/11/23-what-was-911/	nyc|9/11|village voice|journalism|media
2024-08-31	How Oprah will screw up the AI story	https://anildash.com/2024/08/31/oprah-wrong-ai/	ai|bill gates
2024-07-02	Systems: How the Ultra-Wealthy Think About Money	https://anildash.com/2024/07/02/money-flows/	systems|venture capital|most popular
2024-06-26	Systems: Q&A about boards of directors	https://anildash.com/2024/06/26/dash-board/	systems|business
2024-06-20	Systems: What does a board of directors do?	https://anildash.com/2024/06/20/dash-board/	leadership|systems|venture capital|business|best of
2024-06-14	The New Alt Media and the Future of Publishing	https://anildash.com/2024/06/14/the-new-alt-media/	blogs|media|publishing|journalism|village voice
2024-05-28	Systems: The Purpose of a System is What It Does	https://anildash.com/2024/05/28/systems-the-purpose-of-a-system/	systems|business|best of
2024-04-08	Systems: What warms the heart?	https://anildash.com/2024/04/08/systems-heartwarming-stories/	culture|systems
2024-03-11	Prince, Letterman and Insufferability	https://anildash.com/2024/03/11/prince-and-letterman/	music|prince
2024-03-10	Make better documents.	https://anildash.com/2024/03/10/make-better-documents/	tech|communication|best of|business|most popular
2024-02-05	“Wherever you get your podcasts” is a radical statement.	https://anildash.com/2024/02/05/wherever-you-get-podcasts/	tech|podcast|media|web|best of
2024-01-19	Personal blogs are where tech news happens.	https://anildash.com/2024/01/19/personal-blogs-tech-news/	tech|facebook|blogs|media
2024-01-02	The Web Renaissance takes off	https://anildash.com/2024/01/02/human-web-renaissance/	culture|tech|web
2023-11-10	That goddamn mug	https://anildash.com/2023/11/10/that-goddamn-mug/	relationships|communication|personal
2023-09-11	It's unrecognizable	https://anildash.com/2023/09/11/its-unrecognizable/	nyc|9/11|america
2023-08-08	I am the answer to the Single Puzzle.	https://anildash.com/2023/08/08/i-am-the-answer-to-the-single-puzzle/	personal
2023-07-07	"VC qanon" and the radicalization of the tech tycoons	https://anildash.com/2023/07/07/vc-qanon/	tech|twitter|venture capital|silicon valley|most popular
2023-06-08	Today's AI is unreasonable.	https://anildash.com/2023/06/08/ai-is-unreasonable/	tech|ai|design|architecture|venture capital
2023-04-18	What was selling out?	https://anildash.com/2023/04/18/what-was-selling-out/	culture|music|aesthetics|advertising|media
2023-03-01	Never Do Without You: Adding the seasoning	https://anildash.com/2023/03/01/never-do-without-you/	janet jackson|music|love
2023-02-27	The tech tycoon martyrdom charade	https://anildash.com/2023/02/27/tycoon-martyrdom-charade/	tech|twitter|venture capital|most popular
2023-01-16	How you could build a search that the fediverse would welcome	https://anildash.com/2023/01/16/a-fediverse-search/	tech|twitter|web|search|social media
2022-11-15	Cook These Two Things	https://anildash.com/2022/11/15/cook-these-two-things/	food|personal|cooking
2022-09-11	There is nothing to remember.	https://anildash.com/2022/09/11/there-is-nothing-to-remember/	nyc|9/11|nostalgia|history
2022-07-18	I went to a coffee shop.	https://anildash.com/2022/07/18/i-went-to-a-coffee-shop/	personal
2022-06-24	Ending Healthcare	https://anildash.com/2022/06/24/ending-healthcare/	policy
2022-06-02	I am the answer to the Rites of Spring Puzzle	https://anildash.com/2022/06/02/i-am-the-answer-to-the-rites-of-spring-puzzle/	personal
2022-05-20	I am the answer to The Sexual Tension Puzzle	https://anildash.com/2022/05/20/i-am-the-answer-to-the-sexual-tension-puzzle/	nyc|personal
2022-05-17	Everything U Think Is True	https://anildash.com/2022/05/16/everything-u-think-is-true/	culture|prince|tech|awards|personal
2022-04-22	The content moderation battle is a failure of innovation	https://anildash.com/2022/04/21/the-content-moderation-battle-is-a-failure-of-innovation/	culture|policy|tech|twitter|social media
2022-04-13	A Web Renaissance	https://anildash.com/2022/04/13/a-web-renaissance/	culture|tech|web|javascript
2022-04-06	Community Safety and Ignoring the World	https://anildash.com/2022/04/06/off-platform-knowledge/	policy|tech|twitter|web|accessibility
2022-02-09	That broken tech/content culture cycle	https://anildash.com/2022/02/09/the-stupid-tech-content-culture-cycle/	culture|policy|tech|web|advertising
2022-01-31	You have to start with the principle.	https://anildash.com/2022/01/31/you-have-to-start-with-the-principle/	culture|policy|society
2022-01-17	How Stevie Celebrates a Birthday	https://anildash.com/2022/01/17/how-stevie-celebrated-a-birthday/	music|policy|stevie wonder|birthday
2021-12-23	Tech I'm Watching in 2022	https://anildash.com/2021/12/23/tech-im-watching-for-2022/	software|tech
2021-11-15	On "inventing NFTs" and how we don't have any good way to talk about tech	https://anildash.com/2021/11/14/i-didnt-invent-nfts-but-we-dont-really-have-any-other-way-to-talk-about-tech/	culture|tech
2021-11-11	What to know about the 2021 M1 MacBook Pro	https://anildash.com/2021/11/11/what-to-know-about-the-2021-m1-macbook-pro/	apple|tech
2021-09-30	Burners, Pollution,  Control & Privacy By A Thousand Cuts	https://anildash.com/2021/09/30/prying-email/	culture|software|tech|privacy|advertising
2021-09-26	Cooperative Overlap	https://anildash.com/2021/09/25/cooperative-overlap/	culture|communication|conversation|community|collaboration
2021-09-18	The Spreadsheet of Prince Recordings	https://anildash.com/2021/09/17/the-spreadsheet-of-prince-recordings/	culture|music|prince
2021-09-11	Twenty Is Myth	https://anildash.com/2021/09/11/twenty-is-myth/	nyc|9/11|america
2021-08-16	Getting Embedded	https://anildash.com/2021/08/16/getting-embedded/	culture|tech|web|internet
2021-08-12	Then, Now	https://anildash.com/2021/08/11/then-now/	nyc|manhattan|nostalgia
2021-08-05	The Code Behind The Code	https://anildash.com/2021/08/05/the-code-behind-the-code/	software|tech|nostalgia
2021-05-21	Verifiably True	https://anildash.com/2021/05/20/verifiably-true/	culture|tech|twitter
2021-04-05	Not For Tourists: Attribution,  Provenance and Harm Reduction	https://anildash.com/2021/04/05/nfts-attribution-credit-provenance-harm-reduction/	culture|tech|best of
2021-02-25	Design Choices of Breath of the Wild	https://anildash.com/2021/02/25/the-design-of-breath-of-the-wild/	culture|design|accessibility
2021-02-05	How Prince won the Super Bowl	https://anildash.com/2021/02/04/how-prince-won-the-super-bowl/	culture|music|prince|best of
2021-01-28	Getting Comfortable with Robin Byrd	https://anildash.com/2021/01/28/getting-comfortable-with-robin-byrd/	culture|nyc|advertising|aesthetics
2021-01-16	The War on Cars!	https://anildash.com/2021/01/15/the-war-on-cars/	culture|cars|community|design|podcast
2021-01-12	Dule Rockerrr	https://anildash.com/2021/01/12/dule-rockerrr/	culture|music|south asians
2021-01-07	The Death Cult Stages a Coup	https://anildash.com/2021/01/07/the-death-cult-coup/	culture|policy|america
2021-01-06	Making Things, Fast	https://anildash.com/2021/01/06/making-things-fast/	software|web|google
2021-01-05	Exploring Moynihan Station	https://anildash.com/2021/01/04/moynihan-station/	nyc|manhattan
2021-01-04	Recommended: Ted Lasso	https://anildash.com/2021/01/04/recommended-ted-lasso/	culture|apple|kindness
2021-01-03	Keeping Tabs on your Abstractions	https://anildash.com/2021/01/03/keeping-tabs-on-your-abstractions/	software|tech|web|unix|computer science
2021-01-02	Every Day is a Follow Friday	https://anildash.com/2021/01/02/every-day-is-a-follow-friday/	twitter|web
2020-12-31	A Personal Digital Reset	https://anildash.com/2020/12/31/a-personal-digital-reset/	culture|software|tech|twitter|most popular
2020-09-11	Nineteen is When They Forgot	https://anildash.com/2020/09/11/nineteen-is-when-they-forgot/	nyc|9/11|community
2020-08-25	What Windows 95 Changed	https://anildash.com/2020/08/25/what-windows-95-changed/	culture|software|tech|windows|microsoft
