year	title	type	venue	doi	openalex_id	merged_openalex_ids	cited_by_count	is_oa	n_authors	content	source_url	file	note
2018	Studying Implicit Social Cognition with Noninvasive Brain Stimulation	article	Trends in Cognitive Sciences	https://doi.org/10.1016/j.tics.2018.07.014	W2888799318		30	False	3	full-text	https://banaji.sites.fas.harvard.edu/research/publications/articles/2018_Marini.pdf	by/2018--studying-implicit-social-cognition-noninvasive-brain-stimulation.md	
2018	The Nature of Implicit Prejudice:	book-chapter	Princeton University Press eBooks	https://doi.org/10.2307/j.ctv550cbm.7	W4249161885		39	False	2	metadata-only (no abstract, no open text) — not filed			
2017	Datasets	preprint	OSF Preprints (OSF Preprints)		W7110666349		0	False	23	EXCLUDED			OSF project component (data, code, materials or IAT dataset release), not a written work
2017	Datasets &amp; Codebooks	preprint	OSF Preprints (OSF Preprints)		W7110661482	W7110519967	0	True	14	EXCLUDED			OSF project component (data, code, materials or IAT dataset release), not a written work
2017	Explorar as atitudes e as crenças implícitas: lançamento de um site da internet em língua portuguesa	article	Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT)		W2909959465		0	False	5	metadata-only (no abstract, no open text) — not filed			
2017	Implicit attitudes can shift propositionally	preprint	OSF Preprints (OSF Preprints)	https://doi.org/10.17605/osf.io/w9zw9	W2947122017		0	True	2	abstract-only	https://doi.org/10.17605/osf.io/w9zw9	by/2017--implicit-attitudes-can-shift-propositionally.md	
2017	Implicit stereotypes reflect implicit attitudes	preprint	OSF Preprints (OSF Preprints)	https://doi.org/10.17605/osf.io/xhtd2	W2780849552		0	True	3	abstract-only	https://doi.org/10.17605/osf.io/xhtd2	by/2017--implicit-stereotypes-reflect-implicit-attitudes.md	
2017	Repeated evaluative pairings and evaluative statements: How effectively do they shift implicit attitudes?	article	Journal of Experimental Psychology General	https://doi.org/10.1037/xge0000239	W2581009525		81	False	2	abstract-only	https://doi.org/10.1037/xge0000239	by/2017--repeated-evaluative-pairings-evaluative-statements-how-effectively-do-they.md	
2017	Reports of the Death of the Individual Difference Approach to Implicit Social Cognition May Be Greatly Exaggerated: A Commentary on Payne, Vuletich, and Lundberg	editorial	Psychological Inquiry	https://doi.org/10.1080/1047840x.2017.1373555	W2774034826		51	False	2	full-text	https://banaji.sites.fas.harvard.edu/research/publications/articles/2017_Kurdi_PI.pdf	by/2017--reports-death-individual-difference-approach-implicit-social-cognition-may.md	
2017	Statistically inaccurate and morally unfair judgements via base rate intrusion	article	Nature Human Behaviour	https://doi.org/10.1038/s41562-017-0218-y	W2756959570		10	False	3	full-text	https://banaji.sites.fas.harvard.edu/research/publications/articles/2017_Cao_NHB.pdf	by/2017--statistically-inaccurate-morally-unfair-judgements-via-base-rate-intrusion.md	
2017	The implicit revolution: Reconceiving the relation between conscious and unconscious.	article	American Psychologist	https://doi.org/10.1037/amp0000238	W2777233018		226	False	2	abstract-only	https://doi.org/10.1037/amp0000238	by/2017--implicit-revolution-reconceiving-relation-between-conscious-unconscious.md	
