openalex_id	year	date	type	doi	title	cited_by	is_oa	note
W4410339044	2019	2019-10-04	other	10.64000/8nfc6-jze16	Accidental release of internal passwords, &amp; API tokens for the Crossref system	0	yes	
W4414611929	2019	2019-02-05	other	10.64000/07erk-1fe88	Underreporting of matched references in Crossref metadata	0	yes	
W4410338888	2019	2019-02-05	other	10.64000/esvws-a7b66	Underreporting of matched references in Crossref metadata	0	yes	
W2791353415	2018	2018-03-14	article	10.23640/07243.5984974.v1	Committee: ORCID Privacy Committee	0	yes	
W4414611874	2018	2018-04-24	other	10.64000/d42r8-p0y78	Redirecting redirection	0	yes	
W4410337832	2018	2018-04-24	other	10.64000/nyrp9-pak70	Redirecting redirection	0	yes	
W4410338221	2018	2018-07-02	other	10.64000/fcv4b-h5q84	Status, I am new	0	yes	
W2796457527	2018	2018-01-01	other	10.6084/m9.figshare.5914312.v1	The bollockschain and other PID hallucinations	0	yes	
W2740730686	2017	2017-06-20	article	10.23640/07243.5131780.v1	Cross-border Collaboration for Scholarship	0	yes	
W4410337423	2017	2017-12-13	other	10.64000/5cfh1-1wa10	Global Persistent Identifiers for grants, awards, and facilities	1	yes	
W4414611730	2017	2017-12-13	other	10.64000/b9kbd-qrh24	Global Persistent Identifiers for grants, awards, and facilities	0	yes	
W2948689943	2017	2017-08-02	article		Identifier: A Link Relation to Convey a Preferred URI for Referencing	0	no	
W4410336674	2017	2017-01-17	other	10.64000/6xkdj-gzr09	Linking DOIs using HTTPs: the background to our new guidelines	0	yes	
W2754228525	2017	2017-09-13	article	10.23640/07243.5402047.v1	ORG ID WG Product Principles and Recommendations	0	yes	
W2952240703	2017	2017-05-02	article	10.12688/f1000research.11408.1	On the origin of nonequivalent states: How we can talk about preprints	17	yes	
W2728907264	2017	2017-06-30	article	10.23640/07243.5161273.v1	Recommendations of the ORCID Multiple Assertions Working Group	0	yes	
W4410336440	2017	2017-02-15	other	10.64000/skv7b-cef25	Taking the "con" out of conferences	0	yes	
W4410336627	2016	2016-03-01	other	10.64000/ph946-t8093	Community responses to our proposal for early content registration	2	yes	
W4414611432	2016	2016-03-01	other	10.64000/qkxeh-0gy33	Community responses to our proposal for early content registration	0	yes	
W4410336122	2016	2016-06-29	other	10.64000/8mj8h-2t809	DOI-like strings and fake DOIs	0	yes	
W4410336134	2016	2016-06-17	other	10.64000/2716c-59p23	Distributing references via Crossref	1	yes	
W2474807359	2016	2016-04-22	article	10.13021/g88k5v	Evolving Open Solutions (1)	0	yes	
W4414611369	2016	2016-05-05	other	10.64000/e6pny-acg72	Members will soon be able to assign Crossref DOIs to preprints	0	yes	
W4410337134	2016	2016-05-05	other	10.64000/y9bqz-kpp50	Members will soon be able to assign Crossref DOIs to preprints	0	yes	
W2562423333	2016	2016-12-09	preprint	10.1101/092817	On the origin of nonequivalent states: how we can talk about preprints	2	yes	
W4394267343	2016	2016-01-01	dataset	10.6084/m9.figshare.3479141	Organisation Identifiers - Minimum viable product requirements	3	yes	
W2489559333	2016	2016-01-01	dataset	10.6084/m9.figshare.3479141.v1	Organisation Identifiers - Minimum viable product requirements	2	yes	
W4229485981	2016	2016-04-19	article	10.13021/g8bg6t	Report from the Evolving Open Solutions (1) Workgroup	0	yes	
W2306739919	2016	2016-03-09	article	10.13021/g8vs3f	Report from the Evolving Open Solutions (1) Workgroup	0	yes	
W4392267215	2016	2016-01-28	other	10.59350/yk7qt-95j90	Where are the pipes? Building Foundational Infrastructures for Future Services	3	yes	
W4417113351	2016	2016-01-28	other	10.59350/pshkk-fy712	Where are the pipes? Building Foundational Infrastructures for Future Services	0	yes	
W4392324124	2015	2015-04-15	other	10.59350/9qak6-szt77	Community Support for ORCID – Who's next to the plate?	0	yes	
W7109948558	2015	2015-04-15	other	10.59350/6mwz9-pqx22	Community Support for ORCID – Who's next to the plate?	0	yes	
W4414611571	2015	2015-03-02	other	10.64000/zp1sp-w1d60	Crossref's DOI Event Tracker Pilot	0	yes	
W4410335751	2015	2015-03-02	other	10.64000/pehk0-2ap79	Crossref's DOI Event Tracker Pilot	0	yes	
W2279414211	2015	2015-10-04	other	10.5281/zenodo.31780	Doi Myths... Busted	1	yes	
W4414611578	2015	2015-03-17	other	10.64000/63460-w3814	January 2015 DOI Outage: Followup Report	0	yes	
W4410335826	2015	2015-03-17	other	10.64000/2r4ez-tvt15	January 2015 DOI Outage: Followup Report	0	yes	
W4392324060	2015	2015-02-23	other	10.59350/b7mtv-gpn88	Principles for Open Scholarly Infrastructures	18	yes	
W2191502945	2015	2015-01-01	article	10.6084/m9.figshare.1314859.v1	Principles for Open Scholarly Infrastructures-v1	29	yes	
W4410335710	2015	2015-01-21	other	10.64000/a0rsr-7xr47	Problems with dx.doi.org on January 20th 2015- what we know.	0	yes	
W4414611544	2015	2015-01-21	other	10.64000/2se62-wyk97	Problems with dx.doi.org on January 20th 2015- what we know.	0	yes	
W4410335807	2015	2015-06-11	other	10.64000/42phf-m2534	Rehashing PIDs without stabbing myself in the eyeball	0	yes	
W4414611265	2015	2015-06-11	other	10.64000/eeaxz-mjk17	Rehashing PIDs without stabbing myself in the eyeball	0	yes	
W7110426982	2015	2015-08-26	other	10.59350/v2db1-jpk05	What exactly is infrastructure? Seeing the leopard's spots	0	yes	
W4392323739	2015	2015-08-26	other	10.59350/6y9v5-dzq64	What exactly is infrastructure? Seeing the leopard's spots	0	yes	
W2190998250	2015	2015-01-01	article	10.6084/m9.figshare.1520432.v1	What exactly is infrastructure? Seeing the leopard's spots	0	yes	
W4410335425	2014	2014-08-07	other	10.64000/4jf4e-19h85	Citation needed	0	yes	
W4414611449	2014	2014-08-07	other	10.64000/7wcn6-75c96	Citation needed	0	yes	
W4414611683	2014	2014-09-21	other	10.64000/w5wwz-pz175	Linking data and publications	0	yes	
W4410335460	2014	2014-09-21	other	10.64000/4hghg-ada86	Linking data and publications	0	yes	
W4410335462	2014	2014-02-24	other	10.64000/96snc-ye031	Many Metrics. Such Data. Wow.	2	yes	
W4414611446	2014	2014-02-24	other	10.64000/fpncm-bst92	Many Metrics. Such Data. Wow.	0	yes	
W4410335479	2014	2014-04-10	other	10.64000/6fp15-79a77	♫ Researchers just wanna have funds ♫	0	yes	
W4410335457	2013	2013-09-20	other	10.64000/3gjb5-tkm69	DOIs unambiguously and persistently identify published, trustworthy, citable online scholarly literature. Right?	1	yes	
W4410335505	2013	2013-01-24	other	10.64000/1mf9k-hv064	Easily add publications to your ORCID profile	0	yes	
W2258369276	2013	2013-01-01	other	10.6084/m9.figshare.868945.v1	Perceived technical risk associated with the introduction of a new technology in relation to technical expertise.	0	yes	
W4410335486	2012	2012-10-11	other	10.64000/1390x-18h85	Crossref Metadata Search++	0	yes	
W4410335488	2012	2012-02-14	other	10.64000/zk3vy-jce65	DOIs for PHD Comics' Valentine's Day Reading List	0	yes	
W4414611643	2012	2012-04-17	other	10.64000/x9t9x-cxy10	PDF-Extract	0	yes	
W4410335446	2012	2012-04-17	other	10.64000/vkj2k-q1e28	PDF-Extract	0	yes	
W4410335418	2012	2012-08-13	other	10.64000/bdh6v-sb370	PatentCite	0	yes	
W76791122	2012	2012-04-04	article	10.69645/beyu7220	What color is your paratext? trust metrics	0	no	
W4410335429	2011	2011-04-19	other	10.64000/bj8hs-6m856	Content Negotiation for Crossref DOIs	1	yes	
W4410335426	2011	2011-10-10	other	10.64000/7wndk-sgd28	DataCite supporting content negotiation	0	yes	
W4414611653	2011	2011-10-10	other	10.64000/dp3vt-v1053	DataCite supporting content negotiation	0	yes	
W7163326345	2011	2011-03-16	other	10.59347/9z0sh-nm814	Disambiguation without de-duplication: Modeling authority and trust in the ORCID system.	0	yes	
W7163371830	2011	2011-03-16	other	10.59347/yh2m3-wp331	Disambiguation without de-duplication: Modeling authority and trust in the ORCID system.	0	yes	
W7163325393	2011	2011-06-01	other	10.59347/ttb22-qvw72	Identify This!	0	yes	
W7163372584	2011	2011-06-01	other	10.59347/qeb4e-57776	Identify This!	0	yes	
W4410335601	2010	2010-08-16	other	10.64000/3baae-s1739	Add linked images to PDFs	0	yes	
W4410335546	2010	2010-03-25	other	10.64000/8f0n4-64m15	DOIs and Linked Data: Some Concrete Proposals	0	yes	
W4414611618	2010	2010-02-11	other	10.64000/eyq6x-23805	Does a Crossref DOI identify a "work?"	0	yes	
W4410335580	2010	2010-02-11	other	10.64000/be8jg-xk804	Does a Crossref DOI identify a "work?"	0	yes	
W7163359048	2010	2010-04-16	other	10.59347/8arj3-mms36	Structure of the ORCID Identifier	0	yes	
W7163418735	2010	2010-04-16	other	10.59347/k0vf0-0k636	Structure of the ORCID Identifier	0	yes	
W2598706882	2010	2010-11-12	conference-paper		The Future Legal Framework for Nuclear Non-Proliferation: Regional/Bilateral or Truly Multilateral?	0	no	other-person?
W2058780090	2010	2010-04-01	article	10.1080/03615261003623013	What Color is Your Paratext?	0	yes	
W4410335538	2009	2009-12-13	other	10.64000/q2749-8q230	A Christmas Reading List… with DOIs	0	yes	
W4410334915	2009	2009-12-09	other	10.64000/fr3s9-9na05	Add Crossref metadata to PDFs using XMP	0	yes	
W4410333826	2009	2009-02-19	other	10.64000/71hz8-b6n16	An interview about "Author IDs"	0	yes	
W7163392088	2009	2009-02-17	other	10.59347/4b2xw-7sk44	Author Identifiers: Interview with Geoffrey Bilder	0	yes	
W7163336621	2009	2009-02-17	other	10.59347/64bfp-pya36	Author Identifiers: Interview with Geoffrey Bilder	0	yes	
W4410334681	2009	2009-03-20	other	10.64000/6z310-x7v21	Citation Typing Ontology	0	yes	
W4410334912	2009	2009-10-13	other	10.64000/rcs0q-n5c86	Crossref Labs	0	yes	
W4410334889	2009	2009-08-20	other	10.64000/g5xsg-ngs71	Crossref is hiring an R&amp;D Developer in Oxford	0	yes	
W4410334669	2009	2009-02-12	other	10.64000/36sqg-e3169	DOIs in an iPhone application	0	yes	
