id	year	type	title	venue	doi	is_oa	cited	has_abstract	status	authors	pdf	landing
W3083031106	2020	article	Knowledge Infrastructure and the Role of the University	Commonplace	https://doi.org/10.21428/6ffd8432.38919527	True	0	True	include	Amy Brand	https://commonplace.knowledgefutures.org/pub/bn24nbov/download/pdf	https://doi.org/10.21428/6ffd8432.38919527
W3048530412	2020	article	Coronavirus: time to re-imagine academic publishing	Nature	https://doi.org/10.1038/d41586-020-02330-4	True	12	False	include	Vilas Dhar; Amy Brand	https://www.nature.com/articles/d41586-020-02330-4.pdf	https://doi.org/10.1038/d41586-020-02330-4
W3115479423	2020	article	Knowledge infrastructure and the role of the university	Information Services & Use	https://doi.org/10.3233/isu-200084	True	2	True	include	Amy Brand	https://content.iospress.com:443/download/information-services-and-use/isu200084?id=information-services-and-use%2Fisu200084	https://doi.org/10.3233/isu-200084
W3021702894	2020	article	In pursuit of open science, open access is not enough	Science	https://doi.org/10.1126/science.aba3763	True	80	True	include	Claudio Aspesi; Amy Brand		https://hdl.handle.net/1721.1/128966
W3046559280	2020	other	NP2020_The Other I-Word: Infrastructure and the Future of Knowledge	Open MIND	https://doi.org/10.6084/m9.figshare.12093690.v1	True	0	True	include	Amy Brand		https://sched.co/YfFl
W2891908031	2018	article	Embracing change: The MIT Press and the future of university‐based publishing	Learned Publishing	https://doi.org/10.1002/leap.1171	True	5	True	include	Amy Brand	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/leap.1171	https://doi.org/10.1002/leap.1171
W2791353415	2018	article	Committee: ORCID Privacy Committee	Figshare	https://doi.org/10.23640/07243.5984974.v1	True	0	True	include	ORCID; Bernard Rous; Micah Altman; Amy Brand; Geoffrey Bilder; Jackie Ewenstein; Martin Fenner; Lisa Schiff; Chris Shillum; Mike Taylor; Simeon Warner		https://doi.org/10.23640/07243.5984974.v1
W2727815292	2017	article	Recommendation of: ORCID Works Metadata Working Group	Figshare	https://doi.org/10.23640/07243.5153971.v1	True	0	True	include	ORCID; Laura Paglione; Richard Rodgers; Amy Brand; Kevin Dolby; Martin Fenner; Haak Laurel; Mark Henry; Andy Mabbett; Meredith McCusker; S. Mele; Catalina Wilmers; Heather Piwowar; Lisa Schiff; Chris Shillum; Taylor, Michael; Guðmundur Á. Þórisson; Tokizane, Soichi; Diego Ferreira Ucha; Elaine L. Westbrooks; David Weinberger		https://doi.org/10.23640/07243.5153971.v1
W2498971133	2016	article	What is Publishing? (1)	Open Scholarship Initiative Proceedings	https://doi.org/10.13021/g8j30m	True	0	True	include	Amy Brand; James Butcher; Meg Buzzi; Kathleen Fitzpatrick; Ann Gabriel; Rikk Mulligan; Vivian Siegel; Matt Spitzer; Jamie Vernon	https://journals.gmu.edu/index.php/osi/article/download/1739/1188	https://doi.org/10.13021/g8j30m
W4238412004	2016	article	Report from the "What is Publishing?" (1) Workgroup	Open Scholarship Initiative Proceedings	https://doi.org/10.13021/g84017	True	0	True	include	Amy Brand; James N. Butcher; Meg Buzzi; Kathleen Fitzpatrick; Ann Gabriel; Rikk Mulligan; Vivian Siegel; Matt Spitzer; Jamie Vernon	https://journals.gmu.edu/index.php/osi/article/download/1354/1177	https://doi.org/10.13021/g84017
W2552801151	2016	article	Demographics of scholarly publishing and communication professionals	Learned Publishing	https://doi.org/10.1002/leap.1017	True	20	True	include	Albert N. Greco; Robert M. Wharton; Amy Brand	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/leap.1017	https://doi.org/10.1002/leap.1017
W2434173685	2016	article	Report from the "What is Publishing?" (1) Workgroup	Open Scholarship Initiative Proceedings	https://doi.org/10.13021/g8630h	True	0	True	duplicate of W4238412004	Amy Brand; James Butcher; Meg Buzzi; Kathleen Fitzpatrick; Ann Gabriel; Rikk Mulligan; Vivian Siegel; Matt Spitzer; Jamie Vernon		http://journals.gmu.edu/osi/article/download/1354/1177
W2265650535	2015	other	Publishing returns to the Academy	Open Access Server of the Woods Hole Scientific Community (Woods Hole Scientific Community)		False	0	True	include	Heather M. H. Goldstone; Susan Skomal; Michael Markie; Amy Brand; Joshua P. Gray		
