date	identifier	title	archive_url	in_fetch_window	fetched
1990-02-01	release-1.0-02-90	Release 1.0 - February, 1990	https://archive.org/details/release-1.0-02-90	no	no
1990-03-01	release-1.0-03-90	Release 1.0 - March, 1990	https://archive.org/details/release-1.0-03-90	no	no
1990-04-01	release-1.0-04-90	Release 1.0 - April, 1990	https://archive.org/details/release-1.0-04-90	no	no
1990-05-01	release-1.0-05-90	Release 1.0 - May, 1990	https://archive.org/details/release-1.0-05-90	no	no
1990-06-01	release-1.0-06-90	Release 1.0 - June, 1990	https://archive.org/details/release-1.0-06-90	no	no
1990-07-01	release-1.0-07-90	Release 1.0 - July, 1990	https://archive.org/details/release-1.0-07-90	no	no
1990-08-01	release-1.0-08-90	Release 1.0 - August, 1990	https://archive.org/details/release-1.0-08-90	no	no
1990-09-01	release-1.0-09-90	Release 1.0 - September, 1990	https://archive.org/details/release-1.0-09-90	no	no
1990-10-01	release-1.0-10-90	Release 1.0 - October, 1990	https://archive.org/details/release-1.0-10-90	no	no
1990-11-01	release-1.0-11-90	Release 1.0 - November, 1990	https://archive.org/details/release-1.0-11-90	no	no
1990-12-01	release-1.0-12-90	Release 1.0 - December, 1990	https://archive.org/details/release-1.0-12-90	no	no
1991-01-01	release-1.0-01-91	Release 1.0 - January, 1991	https://archive.org/details/release-1.0-01-91	no	no
1991-02-01	release-1.0-02-91	Release 1.0 - February, 1991	https://archive.org/details/release-1.0-02-91	no	no
1991-03-01	release-1.0-03-91	Release 1.0 - March, 1991	https://archive.org/details/release-1.0-03-91	no	no
1991-04-01	release-1.0-04-91	Release 1.0 - April, 1991	https://archive.org/details/release-1.0-04-91	no	no
1991-05-01	release-1.0-05-91	Release 1.0 - May, 1991	https://archive.org/details/release-1.0-05-91	no	no
1991-06-01	release-1.0-06-91	Release 1.0 - June, 1991	https://archive.org/details/release-1.0-06-91	no	no
1991-07-01	release-1.0-07-91	Release 1.0 - July, 1991	https://archive.org/details/release-1.0-07-91	no	no
1991-08-01	release-1.0-08-91	Release 1.0 - August, 1991	https://archive.org/details/release-1.0-08-91	no	no
1991-09-01	release-1.0-09-91	Release 1.0 - September, 1991	https://archive.org/details/release-1.0-09-91	no	no
1991-10-01	release-1.0-10-91	Release 1.0 - October, 1991	https://archive.org/details/release-1.0-10-91	no	no
1991-11-01	release-1.0-11-91	Release 1.0 - November, 1991	https://archive.org/details/release-1.0-11-91	no	no
1991-12-01	release-1.0-12-91	Release 1.0 - December, 1991	https://archive.org/details/release-1.0-12-91	no	no
1992-01-01	release-1.0-01-92	Release 1.0 - January, 1992	https://archive.org/details/release-1.0-01-92	no	no
1992-02-01	release-1.0-02-92	Release 1.0 - February, 1992	https://archive.org/details/release-1.0-02-92	no	no
1992-03-01	release-1.0-03-92	Release 1.0 - March, 1992	https://archive.org/details/release-1.0-03-92	no	no
1992-04-01	release-1.0-04-92	Release 1.0 - April, 1992	https://archive.org/details/release-1.0-04-92	no	no
1992-05-01	release-1.0-05-92	Release 1.0 - May, 1992	https://archive.org/details/release-1.0-05-92	no	no
1992-06-01	release-1.0-06-92	Release 1.0 - June, 1992	https://archive.org/details/release-1.0-06-92	no	no
1992-07-01	release-1.0-07-92	Release 1.0 - July, 1992	https://archive.org/details/release-1.0-07-92	no	no
1992-08-01	release-1.0-08-92	Release 1.0 - August, 1992	https://archive.org/details/release-1.0-08-92	no	no
1992-09-01	release-1.0-09-92	Release 1.0 - September, 1992	https://archive.org/details/release-1.0-09-92	no	no
1992-10-01	release-1.0-10-92	Release 1.0 - October, 1992	https://archive.org/details/release-1.0-10-92	no	no
1992-11-01	release-1.0-11-92	Release 1.0 - November, 1992	https://archive.org/details/release-1.0-11-92	no	no
1992-12-01	release-1.0-12-92	Release 1.0 - December, 1992	https://archive.org/details/release-1.0-12-92	no	no
1993-01-01	release-1.0-01-93	Release 1.0 - January, 1993	https://archive.org/details/release-1.0-01-93	no	no
1993-02-01	release-1.0-02-93	Release 1.0 - February, 1993	https://archive.org/details/release-1.0-02-93	no	no
1993-03-01	release-1.0-03-93	Release 1.0 - March, 1993	https://archive.org/details/release-1.0-03-93	no	no
1993-04-01	release-1.0-04-93	Release 1.0 - April, 1993	https://archive.org/details/release-1.0-04-93	no	no
1993-05-01	release-1.0-05-93	Release 1.0 - May, 1993	https://archive.org/details/release-1.0-05-93	no	no
1993-06-01	release-1.0-06-93	Release 1.0 - June, 1993	https://archive.org/details/release-1.0-06-93	no	no
1993-07-01	release-1.0-07-93	Release 1.0 - July, 1993	https://archive.org/details/release-1.0-07-93	no	no
1993-08-01	release-1.0-08-93	Release 1.0 - August, 1993	https://archive.org/details/release-1.0-08-93	no	no
1993-09-01	release-1.0-09-93	Release 1.0 - September, 1993	https://archive.org/details/release-1.0-09-93	no	no
1993-10-01	release-1.0-10-93	Release 1.0 - October, 1993	https://archive.org/details/release-1.0-10-93	no	no
1993-11-01	release-1.0-11-93	Release 1.0 - November, 1993	https://archive.org/details/release-1.0-11-93	no	no
1993-12-01	release-1.0-12-93	Release 1.0 - December, 1993	https://archive.org/details/release-1.0-12-93	no	no
1994-01-01	release-1.0-01-94	Release 1.0 - January, 1994	https://archive.org/details/release-1.0-01-94	no	no
1994-02-01	release-1.0-02-94	Release 1.0 - February, 1994	https://archive.org/details/release-1.0-02-94	no	no
1994-03-01	release-1.0-03-94	Release 1.0 - March, 1994	https://archive.org/details/release-1.0-03-94	no	no
1994-04-01	release-1.0-04-94	Release 1.0 - April, 1994	https://archive.org/details/release-1.0-04-94	no	no
1994-05-01	release-1.0-05-94	Release 1.0 - May, 1994	https://archive.org/details/release-1.0-05-94	no	no
1994-06-01	release-1.0-06-94	Release 1.0 - June, 1994	https://archive.org/details/release-1.0-06-94	no	no
1994-08-01	release-1.0-08-94	Release 1.0 - August, 1994	https://archive.org/details/release-1.0-08-94	no	no
1994-09-01	release-1.0-09-94	Release 1.0 - September, 1994	https://archive.org/details/release-1.0-09-94	no	no
1994-10-01	release-1.0-10-94	Release 1.0 - October, 1994	https://archive.org/details/release-1.0-10-94	no	no
1994-11-01	release-1.0-11-94	Release 1.0 - November, 1994	https://archive.org/details/release-1.0-11-94	no	no
1994-12-01	release-1.0-12-94	Release 1.0 - December, 1994	https://archive.org/details/release-1.0-12-94	no	no
1995-01-01	release-1.0-01-95	Release 1.0 - January, 1995	https://archive.org/details/release-1.0-01-95	no	no
1995-02-01	release-1.0-02-95	Release 1.0 - February, 1995	https://archive.org/details/release-1.0-02-95	no	no
1995-03-01	release-1.0-03-95	Release 1.0 - March, 1995	https://archive.org/details/release-1.0-03-95	no	no
1995-05-01	release-1.0-05-95	Release 1.0 - May, 1995	https://archive.org/details/release-1.0-05-95	no	no
1995-06-01	release-1.0-06-95	Release 1.0 - June, 1995	https://archive.org/details/release-1.0-06-95	no	no
1995-07-01	release-1.0-07-95	Release 1.0 - July, 1995	https://archive.org/details/release-1.0-07-95	no	no
1995-09-01	release-1.0-09-95	Release 1.0 - September, 1995	https://archive.org/details/release-1.0-09-95	no	no
1995-10-01	release-1.0-10-95	Release 1.0 - October, 1995	https://archive.org/details/release-1.0-10-95	no	no
1995-11-01	release-1.0-11-95	Release 1.0 - November, 1995	https://archive.org/details/release-1.0-11-95	no	no
1995-12-01	release-1.0-12-95	Release 1.0 - December, 1995	https://archive.org/details/release-1.0-12-95	no	no
1996-01-01	release-1.0-01-96	Release 1.0 - January, 1996	https://archive.org/details/release-1.0-01-96	no	no
1996-02-01	release-1.0-02-96	Release 1.0 - February, 1996	https://archive.org/details/release-1.0-02-96	no	no
1996-03-01	release-1.0-03-96	Release 1.0 - March, 1996	https://archive.org/details/release-1.0-03-96	no	no
1996-04-01	release-1.0-04-96	Release 1.0 - April, 1996	https://archive.org/details/release-1.0-04-96	no	no
1996-05-01	release-1.0-05-96	Release 1.0 - May, 1996	https://archive.org/details/release-1.0-05-96	no	no
1996-06-01	release-1.0-06-96	Release 1.0 - June, 1996	https://archive.org/details/release-1.0-06-96	no	no
1996-07-01	release-1.0-07-96	Release 1.0 - July, 1996	https://archive.org/details/release-1.0-07-96	no	no
1996-09-01	release-1.0-09-96	Release 1.0 - September, 1996	https://archive.org/details/release-1.0-09-96	no	no
1996-10-01	release-1.0-10-96	Release 1.0 - October, 1996	https://archive.org/details/release-1.0-10-96	no	no
1996-11-01	release-1.0-11-96	Release 1.0 - November, 1996	https://archive.org/details/release-1.0-11-96	no	no
1996-12-01	release-1.0-12-96	Release 1.0 - December, 1996	https://archive.org/details/release-1.0-12-96	no	no
1997-01-01	release-1.0-01-97	Release 1.0 - January, 1997	https://archive.org/details/release-1.0-01-97	no	no
1997-02-01	release-1.0-02-97	Release 1.0 - February, 1997	https://archive.org/details/release-1.0-02-97	no	no
1997-03-01	release-1.0-03-97	Release 1.0 - March, 1997	https://archive.org/details/release-1.0-03-97	no	no
1997-04-01	release-1.0-04-97	Release 1.0 - April, 1997	https://archive.org/details/release-1.0-04-97	no	no
1997-05-01	release-1.0-05-97	Release 1.0 - May, 1997	https://archive.org/details/release-1.0-05-97	no	no
1997-06-01	release-1.0-06-97	Release 1.0 - June, 1997	https://archive.org/details/release-1.0-06-97	no	no
1997-08-01	release-1.0-08-97	Release 1.0 - August, 1997	https://archive.org/details/release-1.0-08-97	no	no
1997-09-01	release-1.0-09-97	Release 1.0 - September, 1997	https://archive.org/details/release-1.0-09-97	no	no
1997-10-01	release-1.0-10-97	Release 1.0 - October, 1997	https://archive.org/details/release-1.0-10-97	no	no
1997-11-01	release-1.0-11-97	Release 1.0 - November, 1997	https://archive.org/details/release-1.0-11-97	no	no
1997-12-01	release-1.0-12-97	Release 1.0 - December, 1997	https://archive.org/details/release-1.0-12-97	no	no
1998-01-01	release-1.0-01-98	Release 1.0 - January, 1998	https://archive.org/details/release-1.0-01-98	no	no
1998-02-01	release-1.0-02-98	Release 1.0 - February, 1998	https://archive.org/details/release-1.0-02-98	no	no
