year	entry	urls
2015	Columbia University Keynote: Reclaiming Conversation Graduate School of Arts and Sciences New York, NY November 2015	
2015	Institute for Public Knowledge Reclaiming Conversation, A Dialogue (with Marita Sturken and Erik Klinenberg, filmed by C-Span Book Forum) New York, NY November 2015	
2015	The Nobel Dialogues How Will the Digital Age Change Me? Gottendam, SWEDEN November 2015	
2015	7th Peter Drucker Global Forum (on “Claiming our Humanity”) Humans First – Technology Second (panelist) Vienna, AUSTRIA November 2015	
2015	Harvard University Reclaiming Conversation in the Social Sciences Committee on Degrees in Social Studies Cambridge, MA November 2015	
2015	Microsoft Research Group Computers and Privacy Seattle, WA October 2015	
2015	Common Sense Media Childhood and Privacy San Francisco, CA October 2015	
2015	Nieman Foundation for Journalism at Harvard University Reclaiming Conversation: The Power of Talk in a Digital Age Cambridge, MA October 2015	
2015	American Society of Association Executives Reclaiming Conversation in the Workplace Detroit, MI August 2015	
2015	International Psychoanalytic Association, 49th Congress What’s Lost in Screen Relations: Reclaiming Conversation for Consulting Rooms and Living Rooms Boston, MA July 2015	
2015	Martha’s Vinyard Summer Institute Keynote: Reclaiming Conversation: The Power of Talk in a Digital Age Martha’s Vineyard, MA July 2015	
2015	The Aspen Ideas Festival Fellow and Keynote: The Robotic Moment Aspen, CO July 2015	
2015	2015 Callahan Distinguished Lecture The Flight from Conversation: How technology is shaping our relationships Case Western Reserve University Cleveland, OH April 2015	
2015	2015 Lobene Lecture The Power of Conversation: Preserving human connection in a digital world St. John Fischer College Rochester, NY March 2015	
2015	Wisdom 2.0 Conference Keynote: Deep Connections: The power of face-to-face talk in digital culture San Francisco, CA February 2015	
2015	World Economic Forum I Share Therefore I Am Davos, SWITZERLAND January 2015	
2015	American Psychoanalytic Association Special Symposium Keynote: Left to Our Devices: The impact of digital conversations New York, NY January 2015	
2014	Provost’s Discovery Themes Lecture The Power of Conversation: Preserving human connection in a digital world Ohio State University Columbus, OH November 2014	
2014	The Conversation at 40: Privacy and Technology, Mr. Coppola and the Courts “The Socio-Political Context: What Do We Expect When We Expect Privacy Today?” University of California Hastings College of Law San Francisco, CA November 2014	
2014	American Academy of Arts and Sciences Induction Ceremony (Inductee, Class III Speaker) A Flight from Conversation Cambridge, MA October 2014	
2014	Gartner Symposium ITxpo 2014 Guest Speaker Orlando, FL October 2014	
2014	The New School for Social Research The Flight from Conversation New York, NY April 2014	
2013	New England Association of Schools and Colleges Annual Meeting Keynote: Educational Challenges in the Age of Online Education Springfield, MA December 2013	
2013	Harvard University STS Circle, Kennedy School Representing the Dystopian and the Utopian: How the internet leads us to forget what we know about life Cambridge, MA November 2013	
2013	The Springfield Forum Alone Together: The Flight from Conversation Springfield, MA November 2013	
2013	MIT Hillel’s Leading Jewish Minds @ MIT…on the Road Alone Together: Technology and our Flight from Conversation San Francisco, CA & Los Angeles, CA March 2013	
2013	American Association for the Advancement of Science AAAS 2013 Annual Meeting Plenary Address The Robotic Moment: What Do We Forget When We Talk to Machines? Boston, MA February 2013	
2013	Wisdom 2.0 Conference Featured Speaker: The Questions We Are Not Asking: Communication, Wisdom and True Connection in the Digital Age San Francisco, CA February 2013	
2013	Newport Beach Public Library Foundation Martin W. Witte Distinguished Speakers Lecture Series Alone Together and the Flight from Conversation Newport Beach, FL February 2013	
2013	Spence School The Fifth Annual Head’s Forum Education and the Flight from Conversation New York, NY February 2013	
2013	TIGER 21 Annual Conference Alone Together: Why We Expect More from Technology and Less from Each Other Palm Beach, FL February 2013	
2013	Charlotte Country Day School Parent Speaker Series Alone Together and the Flight from Conversation Charlotte, NC January 2013	
2012	Council of the Chief Judges of the State Courts of Appeal 33rd Annual Conference Alone Together: Why We Expect More from Technology and Less from Each Other Houston, TX November 2012	
2012	THINK Conference The Social Network: Why are Robots Becoming Human and Men Machines? Goa, India October 2012	
2012	Carnegie Corporation of New York TIME Summit on Higher Education Panel: “Changing Landscapes: From the Digital Classroom to the Global Campus” New York, NY October 2012	
2012	Association of Financial Professionals (AFP) Annual Conference Keynote: New Relationships in a World of Constant Connection Miami, FL October 2012	
2012	Carlton College Convocation Speech: Necessary Conversations: Technology as an Evocative Object Northfield, MN October 2012	
2012	International Symposium on Digital Ethics Keynote: What are the Ethically Imperative Questions in Digital Culture? Chicago, IL October 2012	
2012	New York Public Library Authors’ Evening Social Media and Social Consequences: A Dialogue with Steven Johnson New York, NY October 2012	
2012	Partners HealthCare Partner’s Connected Health Symposium Alone Together: Why We Expect More from Technology and Less from Each Other Boston, MA October 2012	
2012	Metschools Our Education City Conference Keynote: Necessary Conversations in Educational Culture New York, NY October 2012	
2012	World Business Forum “Inspiring Ideas” World Business Forum: The Impact of Relentless Communication New York, NY October 2012	
2012	The Wellfleet Conference Featured Speaker, The Fate of Conversation Wellfleet, MA September 2012	
2012	Business Innovation Factory Summit Three Stories about Reclaiming Conversation Providence, RI September 2012	
2012	Virginia Military Institute Convocation Speech: Alone Together: Why We Expect More from Technology and Less from Each Other Lexington, VA September 2012	
2012	ESOMAR (World Association for Market Social and Opinion Research) Annual Congress: “Accelerating Excellence” Opening Keynote: Online Identities: The Person in the Machine Atlanta, GA September 2012	
2012	Congregation Shirat HaYam Summer Speakers Program Alone Together: Why We Expect More from Technology and Less from Each Other Nantucket, MA August 2012	
2012	Chautauqua Institution Amphitheater Lecture Series Featured Speaker, Digital Identity Chautauqua, NY July 2012	
2012	Council for the Advancement and Support of Education (CASE) Annual Summit The Social Web: Relationships in the Digital Age Washington, DC July 2012	
2012	Council of Graduate Deans Summer Workshop Social Networking and Technology: Opportunities and Risks Boston, MA July 2012	
2012	Aspen Institute Forum for the Future of Higher Education Social Media in Higher Education Aspen, CO June 2012	
2012	The Q Conference Alone Together Washington, DC April 2012	
2012	Lexington Community Education Program Author’s Event Alone Together: Why We Expect More from Technology and Less from Each Other Lexington, MA April 2012	
2012	Western Illinois University University Address Alone Together: Why We Expect More from Technology and Less from Each Other Moline, IL April 2012	
2012	CISE Distinguished Lecture Series National Science Foundation Alone Together: Technology as the Architect of Our Intimacies Washington, DC April 2012	
2012	Museum of Fine Arts (in collaboration with Boston Institute of Psychotherapy) Symposium: Are Social Networks Really Social? Alone Together: Why We Expect More from Technology and Less from Each Other Boston, MA April 2012	
2012	The Boston Athenaeum Author’s Series Alone Together: Why We Expect More from Technology and Less from Each Other Boston, MA April 2012	
2012	Arizona State University Emerge: A Conference on How Artists and Scientists Redesign the Future Keynote: Evocative Objects Phoenix, AZ March 2012	
2012	SAP Global Marketing CEO Event: The Business Value of Virtual Environments Panelist: The Digital Brain Miami, FL March 2012	
2012	TED Conference 2012 (Technology, Engineering, Design) Mainstage Connected, but Alone? Long Beach, CA March 2012	
		https://www.ted.com/talks/sherry_turkle_connected_but_alone
2012	Harvard University Department of Mental Health University Health Services Grand Rounds Digital Life and the Developing Adolescent Cambridge, MA February 2012	
2012	Mount Auburn Hospital Thursday Morning Talks Alone Together: Intimacy and Solitude in the Digital Age Cambridge, MA February 2012	
