openalex_id	year	type	title	venue	doi	authors	oa_status	has_abstract	oa_url
W185356498	2006	article	Relational Artifacts/Children/Elders : The Complexities of CyberCompanions	Medical Entomology and Zoology		Sherry Turkle	closed	True	
W2060440455	2006	article	I'll have to ask my friends	The New Scientist	https://doi.org/10.1016/s0262-4079(06)60501-0	Liz Else; Sherry Turkle	closed	False	
W1968697026	2007	article	Authenticity in the age of digital companions	Interaction Studies Social Behaviour and Communication in Biological and Artificial Systems	https://doi.org/10.1075/is.8.3.11tur	Sherry Turkle	closed	True	
W1988196642	2007	article	The secret power of things we hold dear	The New Scientist	https://doi.org/10.1016/s0262-4079(07)61446-8	Sherry Turkle	closed	False	
W2482246634	2007	book-chapter	Ich bin Wir? (2001)	Cultural studies	https://doi.org/10.14361/9783839403396-046	Sherry Turkle	closed	False	
W1586086741	2007	article	MAS.962 Autism Theory and Technology, Spring 2007			Cynthia Breazeal; Rana el Kaliouby; Rosalind W. Picard; Sherry Turkle	closed	False	
W4232554054	2007	book-chapter	Ich bin Wir? (2001)	transcript Verlag eBooks	https://doi.org/10.1515/9783839403396-046	Sherry Turkle	closed	False	
W4235249586	2008	book-chapter	Always-On/Always-On-You: The Tethered Self	The MIT Press eBooks	https://doi.org/10.7551/mitpress/9780262113120.003.0010	Sherry Turkle	closed	True	
W2237011500	2008	article	Always-on/Always-on-you: The Thetered Self			Sherry Turkle	closed	False	
W174569433	2008	article	The Inner History of Devices			Sherry Turkle	closed	True	
W565177869	2008	article	Falling for science : objects in mind			Sherry Turkle	closed	True	
W2415529169	2008	article	Falling for Science: Objects in Mind (Representation and Mind Series)			Sherry Turkle	closed	True	
W2547364075	2008	article	The Visible Human			Sherry Turkle	closed	False	
W2554992916	2008	article	The Dialysis Machine			Sherry Turkle	closed	False	
W2539643016	2008	article	Through Clinical Practice			Sherry Turkle	closed	True	
W2543140353	2008	article	The World Wide Web			Sherry Turkle	closed	False	
W2545087027	2008	article	Reading the Inner History of Devices			Sherry Turkle	closed	False	
W2548737200	2008	article	The Prosthetic Eye			Sherry Turkle	closed	True	
W51452500	2008	article	A Passion for Objects.	The chronicle of higher education		Sherry Turkle	closed	False	
W4381547784	2008	book-chapter	Always-On/Always-On-You: The Tethered Self	The MIT Press eBooks	https://doi.org/10.7551/mitpress/7445.003.0013	Sherry Turkle	closed	False	
W1667686981	2008	article	Fronteiras do real e do virtual	Revista FAMECOS	https://doi.org/10.15448/1980-3729.1999.11.3057	Sherry Turkle Federico Casalegno	diamond	True	https://revistaseletronicas.pucrs.br/ojs/index.php/revistafamecos/article/download/3057/2335
W4299961274	2009	book	Simulation and Its Discontents	The MIT Press eBooks	https://doi.org/10.7551/mitpress/8200.001.0001	Sherry Turkle	closed	True	
W2201662438	2009	book	Simulation and Its Discontents: Simplicity: Design, Technology, Business, Life	The MIT Press eBooks		Sherry Turkle	closed	True	
W2937563969	2009	article	La vita nascosta degli oggetti tecnologici			Sherry Turkle	closed	False	
W2547813422	2010	book-chapter	In good company?	Natural language processing	https://doi.org/10.1075/nlp.8.03tur	Sherry Turkle	closed	True	
W2983851385	2010	article	In good company			Sherry Turkle	closed	True	
W4416477241	2010	article	Computerspiele als evokative Objekte. Von Projektionsflächen zu relationalen Artefakten	WestEnd	https://doi.org/10.5771/1860-2177-2010-2-62	Sherry Turkle	closed	False	
W1562091962	2011	article	The Tethered Self: Technology Reinvents Intimacy and Solitude	Continuing higher education review		Sherry Turkle	closed	True	
W1607867388	2011	book-chapter	Authenticity in the Age of Digital Companions	Cambridge University Press eBooks	https://doi.org/10.1017/cbo9780511978036.008	Sherry Turkle	closed	True	
W2008237873	2011	article	Don't be seduced by sociable machines	The New Scientist	https://doi.org/10.1016/s0262-4079(11)60101-2	Sherry Turkle	closed	False	
W2955475463	2011	article	Il disagio della simulazione			Sherry Turkle	closed	False	
W4233605114	2011	dataset	Cyber Intimacy &amp; Cyber Solitude, presented at the Psychotherapy Networker Symposium, March 25, 2011, Washington, DC	PsycEXTRA Dataset	https://doi.org/10.1037/e563272012-001	Sherry Turkle	closed	False	
W2592876863	2012	dataset	Sherry Turkle: Connected, but alone?	PsycEXTRA Dataset	https://doi.org/10.1037/e547002012-001	Sherry Turkle	closed	False	
W4256537603	2013	book-chapter	Faut-il avoir peur des écrans ?	Doin eBooks	https://doi.org/10.3917/jle.huerr.2013.01.0133	Sherry Turkle; Lise Haddouk; Hélène Poirier	closed	False	
W2282778843	2014	article	En buena compañía	Letras libres		Sherry Turkle	closed	False	
W2565172026	2016	article	In Tribute to John Forrester (1949–2015)	American imago	https://doi.org/10.1353/aim.2016.0026	Maud Ellmann; Sherry Turkle; Daniel Pick	closed	True	
W4234016734	2016	book-chapter	8. Object Lessons	New York University Press eBooks	https://doi.org/10.18574/nyu/9780814741405.003.0009	Sherry Turkle	closed	False	
W27882467	2017	book-chapter	How Computers Change the Way We Think		https://doi.org/10.4324/9781351154161-1	Sherry Turkle	closed	True	
W2608060296	2017	article	Afterword: Reclaiming Psychoanalysis: Sherry Turkle in Conversation With the Editors	Psychoanalytic Perspectives	https://doi.org/10.1080/1551806x.2017.1304122	Sherry Turkle; Todd Essig; Gillian Isaacs Russell	closed	True	
W2963734156	2017	book-chapter	Empathy machines		https://doi.org/10.4324/9781315159683-3	Sherry Turkle	closed	True	
W2792620864	2018	article	Rivendicare la psicoanalisi. Sherry Turkle dialoga con gli editori	PSICOANALISI	https://doi.org/10.3280/psi2017-002008	Sherry Turkle; Todd Essing; Gillian Isaacs Russel	closed	False	
W2887532584	2018	article	« En parlant aux machines, nous perdons notre humanité »	Hermès	https://doi.org/10.3917/herm.080.0230	Sherry Turkle; Françoise Wirth	bronze	True	https://www.cairn.info/load_pdf.php?ID_ARTICLE=HERM_080_0230&download=1
W3130270056	2018	article	« En parlant aux machines, nous perdons notre humanité » (entretien)	DSpace (Centre National De La Recherche Scientifique)		Sherry Turkle	closed	False	
W4239291000	2018	other	Foreword		https://doi.org/10.7551/mitpress/10503.003.0001	Sherry Turkle	closed	False	
W2969623502	2019	article	Empathie-Maschinen	PSYCHE	https://doi.org/10.21706/ps-73-9-726	Sherry Turkle	closed	True	
W3081942917	2019	book-chapter	5. The Fellowship of the Microchip: Global Technologies as Evocative Objects		https://doi.org/10.1525/9780520930964-007	Sherry Turkle	closed	False	
W3080181123	2020	book-chapter	A Nascent Robotics Culture: New Complicities for Companionship		https://doi.org/10.4324/9781003074991-12	Sherry Turkle	closed	True	
W4244664881	2020	book-chapter	2. Symbol and Festival in the French Student Uprising (May-June 1968)	Cornell University Press eBooks	https://doi.org/10.7591/9781501737268-006	Sherry Roxanne Turkle	closed	False	
W3195908005	2021	book	The Empathy Diaries: A Memoir			Sherry Turkle	closed	False	
W3202422034	2021	book-chapter	The Year of Not Living Thickly	Princeton University Press eBooks	https://doi.org/10.1515/9780691230955-012	Sherry Turkle	closed	False	
W4205373131	2021	book-chapter	THE YEAR OF NOT LIVING THICKLY	Princeton University Press eBooks	https://doi.org/10.2307/j.ctv1ks0cb1.14	Sherry Turkle	closed	False	
W7127570533	2021	other	Postmodern Stress Disorder: Rewired for Violence?		https://doi.org/10.5040/9798216423508.ch-10	Sigmund Freud; Freud Sigmund; S. Turkle; Sherry Turkle	closed	False	
W4284994022	2022	article	Living the In-Between with Victor Turner's The Ritual Process: The Ritual Process: Structure and Anti-Structure, Victor Turner	Social research	https://doi.org/10.1353/sor.2022.0034	Sherry Turkle	closed	True	
W4367314974	2023	book-chapter	Always-On/Always-on-You: The Tethered Self		https://doi.org/10.4324/9781003320609-64	Sherry Turkle	closed	True	
W4410652060	2023	other	The empathy gap		https://doi.org/10.5040/9798881817862.ch-24	Sherry Turkle	closed	False	
W4390147558	2023	article	Lacan: A Second Chance In America, November 1975	Journal of the American Psychoanalytic Association	https://doi.org/10.1177/00030651231212137	Sherry Turkle	closed	False	
W4392214699	2024	book	Psychoanalytic Politics	The MIT Press eBooks	https://doi.org/10.7551/mitpress/14367.001.0001	Sherry Turkle	bronze	True	https://direct.mit.edu/books/monograph/5803/bookpreview-pdf/2462450
W4393129193	2024	book-chapter	Romantic Reactions:		https://doi.org/10.2307/jj.13167945.16	Sherry Turkle	closed	False	
W4396906142	2024	book-chapter	TANGLING WITH FREUD IN A POST-FREUDIAN WORLD	Princeton University Press eBooks	https://doi.org/10.2307/jj.8784657.19	Sherry Turkle	closed	False	
W4396962532	2024	book-chapter	TANGLING WITH FREUD IN A POST-FREUDIAN WORLD	Princeton University Press eBooks	https://doi.org/10.1515/9780691242446-017	Sherry Turkle	closed	False	
W4393229435	2024	article	Who Do We Become When We Talk to Machines?		https://doi.org/10.21428/e4baedd9.caa10d84	Sherry Turkle	gold	True	https://mit-genai.pubpub.org/pub/uawlth3j/download/pdf
W4407152917	2025	book-chapter	Who Do We Become When We Talk to Machines?	Frontiers in artificial intelligence and applications	https://doi.org/10.3233/faia241477	Sherry Turkle	closed	False	
