year	section	entry	urls	in_corpus
2024	INTERVIEWS/PROFILES/COMMENTARY	TED Radio Hour (NPR) – “How our relationships are changing in the age of artificial intimacy ” (August 2, 2024). With Manoush Zomorodi. “MIT sociologist Sherry Turkle on the psychological impacts of bot relationships.”	https://www.npr.org/programs/ted-radio-hour/2024/08/02/ted-radio-hour-for-august-02-2024	
2024	INTERVIEWS/PROFILES/COMMENTARY	TED Radio Hour (NPR) – “Body Electric: If a bot relationship FEELS real, should we care that it’s not ?” (July 9, 2024). Host Manoush Zomorodi talks to Sherry Turkle about her new research into what she calls “artificial intimacy,” and its impact on our mental and physical health.	https://www.npr.org/2024/07/09/nx-s1-5021743/body-electric-if-a-bot-relationship-feels-real-should-we-care-that-its-not	fetched
2024	INTERVIEWS/PROFILES/COMMENTARY	“Who Do We Become When We Talk to Machines? ” Sherry Turkle in conversation with Audrey Borowski. Leverhulme Centre for the Future of Intelligence, University of Cambridge, UK, June 10, 2024. Streamed by *The Philosopher* (www.thephilosopher1923.org ).	https://www.google.com/search?q=who+do+we+become+when+we+talk+to+machines+turkle&rlz=1C1CHBF_enUS975US975&oq=&gs_lcrp=EgZjaHJvbWUqCQgAECMYJxjqAjIJCAAQIxgnGOoCMgkIARAjGCcY6gIyCQgCECMYJxjqAjIJCAMQIxgnGOoCMgkIBBAjGCcY6gIyEggFEC4YJxivARjHARjqAhiOBTIJCAYQIxgnGOoCMgkIBxAjGCcY6gLSAQkxNjAwajBqMTWoAgiwAgE&sourceid=chrome&ie=UTF-8#fpstate=ive&vld=cid:b3b245c3,vid:jy7bpyt_vnE,st:0; http://www.thephilosopher1923.org/	
2023	INTERVIEWS/PROFILES/COMMENTARY	The Harvard Gazette – “Why virtual isn’t actual, especially when it comes to friends.” Article by Liz Mineo, 12/5/2023, about Prof. Turkle’s keynote at the Harvard Kennedy School/STS Conference on AI & Democracy, held November 30, 2023.	https://news.harvard.edu/gazette/story/2023/12/why-virtual-isnt-actual-especially-when-it-comes-to-friends/	fetched
2022	INTERVIEWS/PROFILES/COMMENTARY	A Species Between Worlds (an initiative by Life Calling) – Panel discussion on “The Age of Perpetual Distraction ” (September 14, 2022 virtual event). With David C. Banks and Tali Horowitz (moderator). The concept of the attention economy – how our focus is captured, distributed, consumed, demanded, and monetized – is growing more omnipresent every day. What is this 24/7 demand doing to our brains and bodies?	https://www.aspeciesbetweenworlds.com/event/day14b/#event-video	
2021	INTERVIEWS/PROFILES/COMMENTARY	The Boston Athenaeum – Book Talk: The Empathy Diaries: A Memoir. Sherry Turkle in conversation with Susan Quinn (June 3, 2021 virtual event). “In this vivid and poignant narrative, Turkle ties together her coming-of-age and her pathbreaking research on technology, empathy, and ethics.”	https://www.bostonathenaeum.org/events/7414/clone-virtual-event-book-talk-empathy-diaries-memoir	
2021	INTERVIEWS/PROFILES/COMMENTARY	Nicolle Wallace: Deadline White House (MSNBC) – Preparing for the Return to the New Normal (April 27, 2021). “MIT Professor Sherry Turkle Says Re-Entry into Society is Harder Than We Think.”	https://www.bing.com/videos/search?q=niccole+wallace+sherry+turkle+preparing+for+the+return&docid=608013136970268424&mid=D345A98D02133510C306D345A98D02133510C306&view=detail&FORM=VIRE	
2021	INTERVIEWS/PROFILES/COMMENTARY	American Friends of Rabin Medical Center Presents Global Connections: People vs Technology: Who’s Winning? – special program from Jerusalem (April 14, 2021). Robert Siegel, former Senior Host of NPR’s All Things Considered, interviews MIT Professor Sherry Turkle.	https://www.bing.com/videos/search?q=global+connections+people+vs+technology+who%27s+winning&docid=608004525561897848&mid=B49F527F4F6E9B0FC52BB49F527F4F6E9B0FC52B&view=detail&FORM=VIRE	
2021	INTERVIEWS/PROFILES/COMMENTARY	NewYorker.com – “Sherry Turkle’s Plugged-In Year,” by Corinne Purtill (March 23, 2021 online edition). ‘The sociologist has critiqued our digital addictions. Now, like the rest of us, she’s been trapped behind her screens.’	https://www.newyorker.com/culture/persons-of-interest/sherry-turkles-plugged-in-year	fetched
2021	INTERVIEWS/PROFILES/COMMENTARY	FastCompany.com – “In a World of Screens, Sherry Turkle Wants to Make Eye Contact,” by Alex Pasternack (March 23, 2021 online edition). ‘The pioneering MIT professor on her new memoir, the masks we wear, and why it’s more important than ever to put technology in its place.’ Sherry Turkle on her new memoir, “The Empathy Diaries” (fastcompany.com)	https://www.fastcompany.com/90613619/sherry-turkle-book-the-empathy-diaries	fetched
2021	INTERVIEWS/PROFILES/COMMENTARY	Fresh Air (NPR) – “In ‘The Empathy Diaries,’ Sherry Turkle Considers the Burden of Family Secrets” (March 10, 2021). Dave Davies, Host.	https://www.npr.org/2021/03/10/975607758/in-the-empathy-diaries-sherry-turkle-considers-the-burden-of-family-secrets	fetched
2021	INTERVIEWS/PROFILES/COMMENTARY	The New York Times – “A Critic of Technology Turns Her Gaze Inward,” by Casey Schwartz (March 1, 2021). ‘Sherry Turkle is best known for exploring the dysfunctional relationships between humans and their screens. She takes on a new focus – herself – in her memoir, The Empathy Diaries.’	https://www.nytimes.com/2021/02/26/books/sherry-turkle-empathy-diaries.html	fetched
2020	INTERVIEWS/PROFILES/COMMENTARY	Le Monde – “Nous devons apprendre à voir Internet comme un acteur politique,” by Marc-Olivier Bherer (August 10, 2020). ‘La psychologue Sherry Turkle, spécialiste du Web, estime que la pandémie, malgré des initiatives numériques désintéressées, n’a pas fait disparaître le risque que nous soyons manipulés par des technologies qui cherchent à capter notre attention.’	https://www.lemonde.fr/idees/article/2020/08/10/pour-combattre-la-fragmentation-de-la-societe-il-faut-revenir-a-une-technologie-que-nous-connaissons-bien-nous-memes_6048553_3232.html	
2020	INTERVIEWS/PROFILES/COMMENTARY	Voice of America News – “MIT’s Sherry Turkle on What is Lost and Gained by Zoom During the Covid Era” (June 11, 2020). Interviewed by VOA broadcaster Adam Phillips.	https://tinyurl.com/y8odb4qa	
2020	INTERVIEWS/PROFILES/COMMENTARY	On Point (NPR) – Staying Connected, Virtually: What We Lose Online. “For years, Sherry Turkle has researched how technology is pushing people apart. But in the face of a global pandemic, is technological communication the thing that’s bringing us together?” (April 1, 2020). With host Meghna Chakrabarti (WBUR, Boston).	https://www.wbur.org/onpoint/2020/04/01/connected-physical-distancing-coronavirus	
2019	INTERVIEWS/PROFILES/COMMENTARY	Le Monde – “Sherry Turkle, la psychologue des nouvelles technologies,” by Frederic Joignot (March 4, 2019). ‘The professor at MIT questions the impact of screens on our relationships, our psychic life – up to our sexuality.’	https://www.lemonde.fr/idees/article/2019/03/04/sherry-turkle-la-psy-des-nouvelles-technologies_5430989_3232.html	
2018	INTERVIEWS/PROFILES/COMMENTARY	Think:Act magazine [Roland Berger] – “How to Make Space for Both People and Technology” (November 9, 2018). “Pioneering thinker and psychologist Sherry Turkle wants us to reclaim human space from all those accelerating technological interruptions.” Prof. Turkle is interviewed by Steven Poole.	https://www.rolandberger.com/en/Point-of-View/How-to-make-space-for-both-people-and-technology.html	fetched
2017	INTERVIEWS/PROFILES/COMMENTARY	Pioneers (The Huffington Post /AOL On) – “’Pioneers’ goes inside the lives of ten people who have made it their mission to redefine what success means to them. At the top of their respective fields, from business and technology to entertainment and pro sports, they’re leading the way to a less stressful, more fulfilling life – and inviting us to join them.” Episode 9: MIT Professor Sherry Turkle (September 2017). With Arianna Huffington.	https://www.huffpost.com/entry/sherry-turkle-pioneers_n_5716699be4b06f35cb70c571	
2016	INTERVIEWS/PROFILES/COMMENTARY	Here & Now (NPR) – “Sherry Turkle talks about the influence technology is having on us – on our conversations, creativity, ability to empathize, and other aspects of our relationships – and what we can do about it” (January 1, 2016). With Robin Young.	http://www.wbur.org/hereandnow/2016/01/01/sherry-turkle-smartphones	
2015	INTERVIEWS/PROFILES/COMMENTARY	Greater Boston/WGBH News — “Sherry Turkle On Her New Book ‘Reclaiming Conversation’” (December 15, 2015). With Jim Braude.	https://www.wgbh.org/news/national-news/2018/05/04/study-america-is-lonelier-than-ever-and-young-adults-are-hit-the-hardest	
2015	INTERVIEWS/PROFILES/COMMENTARY	PBS NewsHour – “How your cellphone is silently disrupting your social life” (November 27, 2015). Jeffrey Brown reviews “Reclaiming Conversation” for the NewsHour Bookshelf and speaks with its author, Sherry Turkle.	https://www.pbs.org/newshour/show/how-your-cellphone-is-silently-disrupting-your-social-life	fetched
2015	INTERVIEWS/PROFILES/COMMENTARY	Book TV / C-SPAN2 – Book Discussion on “Reclaiming Conversation” (November 2, 2015). With author Prof. Sherry Turkle, Eric Klinenberg, and Marita Sturken.	http://www.c-span.org/video/?400035-1/book-discussion-reclaiming-conversation	
2015	INTERVIEWS/PROFILES/COMMENTARY	Arianna Huffington (The Huffington Post) – “Connecting With Sherry Turkle: My Q and A With the Author of ‘Reclaiming Conversation’” (October 27, 2015). Prof. Turkle says we no longer have the kinds of conversations in which intimacy and empathy develop, collaboration grows, and creativity thrives.	http://www.huffingtonpost.com/arianna-huffington/connecting-with-sherry-turkle_b_8398960.html	
2015	INTERVIEWS/PROFILES/COMMENTARY	Good Morning America (ABC). “Phones Ruining Conversations” (October 23, 2015). Prof. Turkle is interviewed by Bloomberg’s Emily Chang.	https://www.bloomberg.com/news/videos/2015-10-23/tech-skeptic-sherry-turkle-phones-ruining-conversations	
2015	INTERVIEWS/PROFILES/COMMENTARY	The Diane Rehm Show (NPR) – “A psychologist [Sherry Turkle] warns that turning to our devices for connection can diminish our capacity for empathy” (October 19, 2015).	http://thedianerehmshow.org/shows/2015-10-19/sherry-turkle-reclaiming-conversation-the-power-of-talk-in-a-digital-age	
2015	INTERVIEWS/PROFILES/COMMENTARY	Science Friday (NPR) – “Sherry Turkle says ‘human relationships are rich, messy, and demanding. When we clean them up with technology, we move from conversation to the efficiencies of mere connection.’” (October 9, 2015). With Ira Flatow.	http://www.sciencefriday.com/segments/sherry-turkle-reclaiming-conversation/	
2015	INTERVIEWS/PROFILES/COMMENTARY	HUBweek/Boston (Fenway Forum) – “What’s the Right Thing to Do?: A Master Class with Michael Sandel” (October 4, 2015). Described as a “rockstar moralist” by Newsweek, Harvard Professor Michael Sandel welcomes an all-star panel including Arianna Huffington, Yo-Yo Ma, Alexis Wilkinson, Sherry Turkle, and others for a lively discussion about hard ethical questions such as ‘Should we try to live forever? Make machines that can outthink us? Create perfect kids? Trade our privacy for convenience?’ Emcee’d by WBUR’s Robin Young, at Faneuil Hall. (Panelist introductions begin at 19 minutes into the video.)	https://www.youtube.com/watch?v=urcSDiQwaNQ	
2015	INTERVIEWS/PROFILES/COMMENTARY	Weekend Edition (NPR) – “Making the case for face to face in an era of digital conversation” (September 26, 2015). “When Sherry Turkle came into the studio for her interview with NPR’s Scott Simon, she left her cell phone outside. ‘I gave my iPhone to someone … out of my line of vision,’ she says, ‘because research shows that the very sight of the iPhone anywhere in your line of vision actually changes the conversation.’”	http://www.npr.org/2015/09/26/443480452/making-the-case-for-face-to-face-in-an-era-of-digital-conversation	fetched
2014	INTERVIEWS/PROFILES/COMMENTARY	Common Sense Media – “Touchscreen Generation” (November 2014, New York City). A panel discussion featuring Sherry Turkle, Yahoo News anchor Katie Couric, and James Steyer, founder and CEO of Common Sense Media.	http://www.zimbio.com/pictures/U6qyuY1hiRZ/Touchscreen+Generation+Event/ogLb613RSZf/Sherry+Turkle	
2014	INTERVIEWS/PROFILES/COMMENTARY	Scientific American – “The Networked Primate” (Vol. 311, Issue 3, September 2014). ‘For the first time in the history of our species, we are never alone and never bored. Have we lost something fundamental about being human?’ Prof. Turkle is interviewed by Mark Fischetti.	http://www.scientificamerican.com/article/sherry-turkle-explains-why-social-technologies-are-making-us-less-social/?print=true	fetched
2014	INTERVIEWS/PROFILES/COMMENTARY	The Atlantic Magazine – “Saving the Lost Art of Conversation: In a fast-paced digital age, an MIT psychologist tries to slow us down” (January/February 2014). A profile by Megan Garber.	http://www.theatlantic.com/magazine/archive/2014/01/the-eavesdropper/355727/	fetched
2013	INTERVIEWS/PROFILES/COMMENTARY	Moyers & Company (PBS) – “Sherry Turkle on Being Alone Together” (October 18, 2013). Sherry tells Bill Moyers: “What concerns me as a developmental psychologist is watching children grow in this new world where being bored is something that never has to be tolerated for a moment.”	http://billmoyers.com/segment/sherry-turkle-on-being-alone-together/	
2013	INTERVIEWS/PROFILES/COMMENTARY	On Point with Tom Ashbrook (NPR) – “The Programmable World” (June 4, 2013). Sherry Turkle discusses wiring the physical world and how we’ll live when everything is online.	http://onpoint.wbur.org/2013/06/04/the-programmable-world	
2013	INTERVIEWS/PROFILES/COMMENTARY	CBS This Morning, with Charlie Rose and Gayle King – “More Wired, Less Connected: Is Your Smart Phone Making You Lonely?” (Sunday, April 3, 2013). Sherry Turkle, Barbara Fredrickson, and Nick Bilton discuss the pros and cons of mobile phones.		
2013	INTERVIEWS/PROFILES/COMMENTARY	TED Radio Hour (NPR) – “Are We Plugged-In, Connected, but Alone?” (March 15, 2013). With Guy Raz. “Sherry Turkle looks at how technology redefines human connection and what we expect from each other.”	http://www.npr.org/2013/02/25/172900833/do-we-need-humans	
2013	INTERVIEWS/PROFILES/COMMENTARY	Weekend Edition Sunday (NPR) – “’We Need to Talk’: Missed Connections with Hyperconnectivity” (February 10, 2013). Sherry Turkle tells Rachel Martin “We all get to keep our phones and love our phones, but now that we’re into a more mature use of the technology, we also need to be able to say, ‘For this conversation, we need to talk.’”	http://www.npr.org/2013/02/10/171490660/we-need-to-talk-missed-connections-with-hyper-connectivity	
2012	INTERVIEWS/PROFILES/COMMENTARY	Fresh Air with Terry Gross (NPR) — “In Turkle’s interviews with adults and teenagers, she found people of all ages are drawn to their devices for a similar reason: ‘What is so seductive about texting, about keeping that phone on, about that little red light on the BlackBerry, is you want to know who wants you’” (October 18, 2012).	http://www.wbur.org/npr/163098594/in-constant-digital-contact-we-feel-alone-together	
2012	INTERVIEWS/PROFILES/COMMENTARY	CBS News — “Texting: Can we pull the plug on our obsession?” In a Cover Story, Susan Spencer speaks with Sherry Turkle about our push-button compulsions (September 30, 2012).	http://www.cbsnews.com/8301-3445_162-57523072/texting-can-we-pull-the-plug-on-our-obsession/	
2012	INTERVIEWS/PROFILES/COMMENTARY	TED Conference (Technology, Engineering, Design) — Sherry Turkle gives a talk on “Connected, but Alone?” on the TED Mainstage in Long Beach, CA (March 2012).	https://www.ted.com/talks/sherry_turkle_connected_but_alone?language=en	
2011	INTERVIEWS/PROFILES/COMMENTARY	The Colbert Report (Comedy Central) — “Sherry Turkle doesn’t want to get rid of technology, but she thinks it’s time to put it in its place” (January 17, 2011).	http://www.cc.com/video-clips/kd5rmr/the-colbert-report-sherry-turkle	
2011	INTERVIEWS/PROFILES/COMMENTARY	Morning Edition (NPR) — “Social robots raise moral, ethical questions” (March 11, 2011). With Ari Shapiro.	http://www.npr.org/2011/03/11/134448276/Social-Robots-Raise-Moral-Ethical-Questions	fetched
2011	INTERVIEWS/PROFILES/COMMENTARY	The Economist’s Human Potential summit (video) — Sherry Turkle argues that society needs to move away from multitasking in favor of “unitasking” during ‘The New Office’ session moderated by Matthew Bishop, U.S. business editor for The Economist (September 14, 2011, New York City).	http://www.youtube.com/watch?v=fEcNX92kHhE	
2011	INTERVIEWS/PROFILES/COMMENTARY	On Being with Krista Tippett (American Public Media) — “Alive Enough? Reflecting on Our Technology” (April 7, 2011). “And here is the starting point for the conversation [Sherry Turkle] would encourage all of us to have within ourselves, within our workplaces, and especially within our families: just because we’ve grown up with the Internet doesn’t mean the Internet is grown up.” [on-air interview plus transcript]	https://onbeing.org/programs/sherry-turkle-alive-enough-reflecting-on-our-technology/	fetched
2011	INTERVIEWS/PROFILES/COMMENTARY	Science Friday (NPR) — “Have we grown too fond of technology?” (February 25, 2011). With Ira Flatow.	https://www.npr.org/2011/02/25/134059283/have-we-grown-too-fond-of-technology	fetched
2011	INTERVIEWS/PROFILES/COMMENTARY	Sunday Morning (CBS News) — “Can Robots Love?” (February 20, 2011).		
2011	INTERVIEWS/PROFILES/COMMENTARY	The Takeaway (NPR/WNYC FM) — “Is technology tearing us apart?” (January 18, 2011). With John Hockenberry.	https://www.pri.org/stories/2011-01-18/technology-tearing-us-apart	
2011	INTERVIEWS/PROFILES/COMMENTARY	Here and Now (NPR/WBUR FM) — “MIT professor calls for facing the true costs of technology” (January 14, 2011). With Robin Young.	http://hereandnow.wbur.org/2011/01/14/sherry-turkle-technology%20	
2009	INTERVIEWS/PROFILES/COMMENTARY	Frontline (PBS tv/web report) — “Digital Nation: Life on the Virtual Frontier” (February 2, 2010). Interview with Sherry Turkle. (Website also contains edited transcript of that interview, conducted on September 22, 2009.)	https://www.pbs.org/wgbh/pages/frontline/digitalnation/interviews/turkle.html	fetched
2009	INTERVIEWS/PROFILES/COMMENTARY	The BBC — “The Virtual Revolution: How 20 years of the web has reshaped our lives” (November 27, 2009). Sherry Turkle talks with Aleks Krotoski about privacy, communication, and identity in the web-connected world.	http://www.bbc.co.uk/programmes/p005c8t3	
2012	INTERVIEWS/PROFILES/COMMENTARY	“A Conversation with Sherry Turkle ,” James Nolan, The Hedgehog Review (Spring 2012). Prof. Turkle discusses her new book, Alone Together: Why we expect more from technology and less from each other.	http://www.iasc-culture.org/THR/THR_article_2012_Spring_Nolan.php	
2011	INTERVIEWS/PROFILES/COMMENTARY	“Alone in the Crowd ,” Michael Price, Monitor on Psychology (June 2011). “Sherry Turkle says social networking is eroding our ability to live comfortably offline.”	http://www.apa.org/monitor/2011/06/social-networking.aspx	fetched
2011	INTERVIEWS/PROFILES/COMMENTARY	“Room for Online Optimism ,” Christopher Muther, The Boston Globe (March 17, 2011). “[Sherry Turkle] was the poster girl for our 1990s life online. Cut to 2011.”	http://archive.boston.com/lifestyle/articles/2011/03/17/sherry_turkle_discusses_her_new_book_about_how_we_use_technology/	
2011	INTERVIEWS/PROFILES/COMMENTARY	“Alone Together: So busy communicating, we neglect each other ,” MIT Spectrum [Massachusetts Institute of Techology] (Spring 2011). “Prof. Sherry Turkle says if you don’t teach your children how to be alone, they only know how to be lonely.”	http://spectrum.mit.edu/articles/normal/alone-together	
2011	INTERVIEWS/PROFILES/COMMENTARY	“Programmed for Love ,” Jeffrey R. Young, The Chronicle of Higher Education (The Chronicle Review, January 14, 2011). “In a skeptical turn, the MIT ethnographer Sherry Turkle warns of the dangers of social technology.”	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/Chronicle-of-Higher-Ed.pdf	fetched
2011	INTERVIEWS/PROFILES/COMMENTARY	“Is Technology Making Us Lonelier? ” Meredith Melnick, Time magazine (January 10, 2011). “In late December, Turkle sat with TIME to discuss robot puppies, teen texting and what ‘full attention’ means in an age of smart phones.”	http://content.time.com/time/health/article/0,8599,2041714,00.html	
2011	INTERVIEWS/PROFILES/COMMENTARY	“Cyberspaced ,” Mary Sykes Wylie and Rich Simon, Psychotherapy Networker (January/February 2011). “Sherry Turkle Sees e-Life at the Crossroads.”	https://www.psychotherapynetworker.org/magazine/article/371/cyberspaced	
2010	INTERVIEWS/PROFILES/COMMENTARY	“Will Small Step for Robots Lead to Giant Leap for Robotkind? ” a PBS NewsHour report (October 29, 2010). Science Correspondent Miles O’Brien interviews a panel of experts on efforts to engineer robots that are eerily similar to humans and animals.	https://www.youtube.com/watch?v=-6GjUKyv-qo	
2010	INTERVIEWS/PROFILES/COMMENTARY	“The Way We Live Now: I Tweet, Therefore I Am, ” Peggy Orenstein, New York Times Magazine (July 30, 2010). “On Twitter or Facebook you’re trying to express something real about who you are, [Sherry Turkle] explained. But because you’re also creating something for others’ consumption, you find yourself imagining and playing to your audience more and more.”	http://www.nytimes.com/2010/08/01/magazine/01wwln-lede-t.html	fetched
2009	INTERVIEWS/PROFILES/COMMENTARY	“Robots That Care: Advances in Technological Therapy, ” Jerome Groopman, The New Yorker (November 2, 2009). “Robots, Turkle argues, risk distorting the meaning of relationships, the bonds of love, and the types of emotional accommodation required to form authentic human attachments.”	http://www.newyorker.com/reporting/2009/11/02/091102fa_fact_groopman	
2010	INTERVIEWS/PROFILES/COMMENTARY	“The Risks of Parenting While Plugged In, ” Julie Scelfo, New York Times (June 10, 2010, Home & Garden section). “In her studies, Dr. Turkle said, ‘Over and over, kids raised the same three examples of feeling hurt and not wanting to show it when their mom or dad would be on their devices instead of paying attention to them: at meals, during pickup after either school or an extracurricular activity, and during sports events.’ “	http://www.nytimes.com/2010/06/10/garden/10childtech.html	
2010	INTERVIEWS/PROFILES/COMMENTARY	“Call Me! But Not on Skype or Any Other Videophone, ” Joel Stein, Time Magazine (January 18, 2010). The author complains that “Skype breaks the century-old social contract of the phone: we pay close attention while we’re talking and zone out while you are.”	http://content.time.com/time/magazine/article/0,9171,1952314,00.html	
2009	INTERVIEWS/PROFILES/COMMENTARY	“Texting May Be Taking a Toll ,” Katie Hafner, New York Times (May 26, 2009). Discussion of the cost of texting among teenagers.	https://www.nytimes.com/2009/05/26/health/26teen.html	
2008	INTERVIEWS/PROFILES/COMMENTARY	“She Studies our Affection for Objects ,” Billy Baker, Boston Globe (November 17, 2008). How Sherry Turkle became a trailblazer in bringing a social scientist’s view into computers and technology. Discusses her “object trilogy” as well as her forthcoming book about what happens “when our technology is always on and always on us.”	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST-interview-in-BostonGlobe.pdf	fetched
2008	INTERVIEWS/PROFILES/COMMENTARY	“MIT’s Sherry Turkle on Our Robot Love ,” Akiko Bush, I.D. The International Design Magazine (February 27, 2008). A conversation about one of contemporary culture’s biggest crushes: the android.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_I.D.interview.pdf	fetched
2007	INTERVIEWS/PROFILES/COMMENTARY	“Really Thinking About Things, ” Penelope Green, The New York Times (November 8, 2007, Home & Garden section). “Sherry Turkle, who has studied people’s relationships with computers, has turned her focus to how people relate to common items.”	http://www.nytimes.com/2007/11/08/garden/08turkle.html	
2006	INTERVIEWS/PROFILES/COMMENTARY	“Living online: I’ll have to ask my friends ,” Liz Else, New Scientist (September 20, 2006, Vol. 191/2569). “Sociologist Sherry Turkle worries [that being constantly plugged into social networks] is transforming human psychology.”	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Living-Online.pdf	fetched
2003	INTERVIEWS/PROFILES/COMMENTARY	“Technology and Human Vulnerability : A Conversation with MIT’s Sherry Turkle,” Diane L. Coutu, Harvard Business Review (September 2003, Vol. 81/9).	https://hbr.org/2003/09/technology-and-human-vulnerability	
2003	INTERVIEWS/PROFILES/COMMENTARY	“People, Information, and Mediating Technologies ,” Open Door, the MIT online alumni magazine (July/August 2003). Interview with Sherry Turkle.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Open-Door-interview.pdf	
2003	INTERVIEWS/PROFILES/COMMENTARY	“Discover Dialogue: Social Scientist Sherry Turkle a Psychologist in Cyberspace ,” Discover (June 2003, Vol. 24/6). An extended version, exclusive to the Discover website, of the article that appeared in the April 2003 magazine.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Psychologist-in-Cyberspace.pdf	
2000	INTERVIEWS/PROFILES/COMMENTARY	“What Do You Mean, ‘It’s Just Like a Real Dog?’; As Robot Pets and Dolls Multiply, Children React in New Ways to Things That Are ‘Almost Alive’ ,” Katie Hafner, New York Times (May 25, 2000, Circuits section).	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_What-do-you-mean-its-like-a-real-dog.pdf	
1998	INTERVIEWS/PROFILES/COMMENTARY	“At the Heart of a Cyberstudy, the Human Essence [Interview],” Katie Hafner, New York Times (June 18, 1998). “Dr. Turkle was an early proponent of the idea, now commonly accepted, that identity on the Internet is fluid.”	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Human-Essence_NYT-interview.pdf	
1998	INTERVIEWS/PROFILES/COMMENTARY	“An Ethnologist in Cyberspace [Profile],” Marguerite Holloway, Scientific American (April 1998)..	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Ethnologist-in-Cyberspace.pdf	
1996	INTERVIEWS/PROFILES/COMMENTARY	“Sex, Lies and Avatars ,” Pamela McCorduck, WiredMagazine (1996, Vol. 4.04). “For Sherry Turkle, author of the provocative Life on the Screen — the first serious look at the multiple personalities we live in cyberspace — we are experiencing that historical, liminal moment when the old has begun to die and the new has not yet arrived.”	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Sex-Lies-Avatars.pdf	
