year	section	entry	urls	in_corpus
2014	CHAPTERS IN BOOKS	“Objects of Desire .” In What Should We Be Worried About?: Real Scenarios That Keep Scientists Up at Night, John Brockman (ed.) New York: Harper Perennial, 2014.	http://www.edge.org/response-detail/23795	fetched
2013	CHAPTERS IN BOOKS	“Be Careful What You Wish For. ” In Rise of the Robots: We’ve got company, How smart machines will change our lives, Editors of Time Magazine. Time Books, 2013.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Be-Careful-What-You-Wish-For.pdf	fetched
2013	CHAPTERS IN BOOKS	“Once Upon a Screen. ” In The Science of You: The Factors That Shape Your Personality, Editors of Time Magazine. Time Books, 2013.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Once-Upon-a-Screen.pdf	fetched
2010	CHAPTERS IN BOOKS	“Object Lessons .” In Educating the Whole Child for the Whole World, Marcelo M. Suárez-Orozco and Carolyn Sattin-Bajaj (eds.). New York University Press, 2010.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Object-Lessons.pdf	fetched
2010	CHAPTERS IN BOOKS	“In Good Company?: On the Threshold of Robotic Companions .” In Close Engagements with Artificial Companions: Key Social, Psychological, Ethical and Design Issues, Yorick Wilks (ed.). Amsterdam and Philadelphia: John Benjamins Publishing Company, 2010.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/Turkle_In-Good-Company.pdf	fetched
2009	CHAPTERS IN BOOKS	“The Robot in the Wings. ” In What Have You Changed Your Mind About?: Today’s Leading Minds Rethink Everything, John Brockman (ed.). New York: Harper Perennial, 2009.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Robot-in-the-Wings.pdf	fetched
2008	CHAPTERS IN BOOKS	“Always-on/Always-on-you: The Tethered Self .” In Handbook of Mobile Communication Studies, James E. Katz (ed.). Cambridge, MA: MIT Press, 2008.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Always-On.pdf	fetched
2007	CHAPTERS IN BOOKS	“The Immeasurables .” In What Are You Optimistic About?: Today’s Leading Thinkers on Why Things Are Good and Getting Better, John Brockman (ed.). New York: Harper Perennial, 2007.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Immeasurables.pdf	fetched
2007	CHAPTERS IN BOOKS	“Simulation Versus Authenticity .” In What is Your Dangerous Idea?: Today’s Leading Thinkers on the Unthinkable, John Brockman (ed.). New York: Harper Perennial, 2007.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Simulation-vs-Authenticity.pdf	fetched
2006	CHAPTERS IN BOOKS	“Tethering ”. In Sensorium: Embodied Experience, Technology, and Contemporary Art, Caroline A. Jones (ed.). Cambridge, MA: List Visual Art Center and MIT Press, 2006.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Tethering.pdf	fetched
2006	CHAPTERS IN BOOKS	“First Encounters with Kismet and Cog: Children Respond to Relational Artifacts .” With Cynthia Breazeal, Olivia Dasté, and Brian Scassellati. In Digital Media: Transformations in Human Communication, Paul Messaris and Lee Humphreys (eds.). New York: Peter Lang Publishing, 2006.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_First-Encounters-with-Kismet.pdf	fetched
2005	CHAPTERS IN BOOKS	“Computer Games as Evocative Objects: From Projective Screens to Relational Artifacts .” In Handbook of Computer Game Studies, Joost Raessens and Jeffrey Goldstein (eds.), MIT Press, 2005.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Computer-Games-as-Evoc-Obj.pdf	fetched
2004	CHAPTERS IN BOOKS	“The Objects of Our Lives .” In Curious Minds: How a Child Becomes a Scientist, John Brockman (ed.). New York: Pantheon, 2004.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Objects-of-our-lives.pdf	
2004	CHAPTERS IN BOOKS	“Our Split Screens .” In Community in the Digital Age: Philosophy and Practice, Andrew Feenberg and Darin Barney (eds.). Lanham, MD: Rowman and Littlefield, 2004.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Our-Split-Screens.pdf	
2024	ARTICLES	“A 14-Year-Old Boy Killed Himself to Get Closer to a Chatbot. He Thought They Were in Love” (with Pat Pataranutaporn). The Wall Street Journal, November 8, 2024.		
2023	ARTICLES	“Lacan – a Second Chance in America, November 1975. ” Journal of the American Psychoanalytic Association (Special Issue on Lacan in America), October 2023.	https://journals.sagepub.com/doi/full/10.1177/00030651231212137	
2023	ARTICLES	“Silicon Valley Fairy Dust.” Crooked Timber Seminar on the Ideologies of Silicon Valley, 2023. https://crookedtimber.org/2023/silicon-valley-fairy-dust/	https://crookedtimber.org/2023/silicon-valley-fairy-dust/	fetched
2023	ARTICLES	“How Human Are We? Machines Will Tell us.” Included in report on “How AI Will Change the Workplace” by Sean Captain. The Wall Street Journal, May 14, 2023. https://www.wsj.com/articles/how-ai-change-workplace-af2162ee?st=jou39lse1fqym8p&reflink=desktopwebshare_permalink	https://www.wsj.com/articles/how-ai-change-workplace-af2162ee?st=jou39lse1fqym8p&reflink=desktopwebshare_permalink	
2022	ARTICLES	“Living the In-Between with Victor Turner’s The Ritual Process: Structure and Anti-Structure. ” Social Research: An International Quarterly, Volume 89, Number 2, Summer 2022. [Issue on Books that Matter.]	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Living-the-In-Between-with-Victor-Turner.pdf	fetched
2022	ARTICLES	“Writing a Memoir Taught Me How to See My Mother. ” Literary Hub, February 28, 2022.	https://lithub.com/writing-a-memoir-taught-me-how-to-see-my-mother/	fetched
2022	ARTICLES	“The Knock at the Door. ” Tablet Magazine, February 28, 2022.	https://www.tabletmag.com/sections/community/articles/knock-at-the-door	fetched
2022	ARTICLES	“Empathy Rules. ” Harvard Business Review, February 17, 2022.	https://hbr.org/2022/02/empathy-rules	fetched
2021	ARTICLES	“How to Fix Social Media. ” The Wall Street Journal, October 29, 2021.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/Turkle_How-to-fix-social-media_WSJ_Oct.2021_.pdf	fetched
2021	ARTICLES	“The Pandemic Has Shown Us That People Need Relationships ” (interview with Ian Tucker). The Guardian, March 21, 2021.	https://www.theguardian.com/science/2021/mar/21/sherry-turkle-the-pandemic-has-shown-us-that-people-need-relationships	fetched
2021	ARTICLES	“The Pandemic Made Us Strangers to Ourselves. ” TIME Magazine, March 16, 2021.	https://time.com/5946966/sherry-turkle-pandemic-lessons/	fetched
2020	ARTICLES	“That Chatbot I’ve Loved to Hate. ” MIT Technology Review, August 18, 2020	https://www.technologyreview.com/2020/08/18/1006096/that-chatbot-ive-loved-to-hate/	fetched
2020	ARTICLES	“Dreams of an American Eden .” Financial Times, July 18, 2020.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/Turkle_Dreams-of-Amer-Eden_FT_July.18.2020_.pdf	fetched
2019	ARTICLES	Essay on “Wedding Earrings ” for Travelling Companions online exhibit. University of Westminster, UK, September 2019.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/Turkle_Wedding-Earrings.pdf	fetched
2018	ARTICLES	“How to Make Space for Both People and Technology ” [interview with Steven Poole]. Think:Act magazine (issue on “On Being Human”), November 9, 2018.	https://www.rolandberger.com/en/Point-of-View/How-to-make-space-for-both-people-and-technology.html	fetched
2018	ARTICLES	“There Will Never Be an Age of Artificial Intimacy : Robots may be better than nothing, but they still won’t be enough.” The New York Times (The Big Ideas), August 11, 2018.	https://www.nytimes.com/2018/08/11/opinion/there-will-never-be-an-age-of-artificial-intimacy.html	fetched
2018	ARTICLES	“The Robotic Moment. ” Encyclopedia Britannica entry, 100th Anniversary Edition, June 2018.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Robotic-Moment.pdf	fetched
2018	ARTICLES	“Think Different? Apple Takes Its Message Seriously. ” ThriveGlobal.com, June 5, 2018.	https://thriveglobal.com/stories/think-different-apple-takes-it-s-message-seriously/	
2018	ARTICLES	Sherry Turkle, Gillian Isaacs Russell, Todd Essig, “Bodies in the Room: Keeping Talk Therapy Real .” Medium.com, May 29, 2018.	https://medium.com/@sturkle/bodies-in-the-room-ca07d196e0d9	fetched
2018	ARTICLES	“Will Voice-Technologies Render Us Mute? ” Dialogue Magazine, Spring 2018.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Will-Voice-Tech-Render-Us-Mute.pdf	fetched
2018	ARTICLES	“Entre Facebook et ses utilisateurs, un amour déҫu” (Débats & Analyses). Le Monde, 10 Avril 2018, p. 22.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Le-Monde.pdf	fetched
2017	ARTICLES	“Why These Friendly Robots Can’t Be Good Friends To Our Kids .” The Washington Post (Outlook), December 7, 2017.	https://www.washingtonpost.com/outlook/why-these-friendly-robots-cant-be-good-friends-to-our-kids/2017/12/07/bce1eaea-d54f-11e7-b62d-d9345ced896d_story.html?utm_term=.792f33af1623	fetched
2017	ARTICLES	Sherry Turkle, Todd Essig, Gillian Isaacs Russell, “Afterword: Reclaiming Psychoanalysis: Sherry Turkle in Conversation with the Editors. ” Psychoanalytic Perspectives, 14:2, 2017: 237-248. [In link, scroll down to second page to find entire article.]	http://www.tandfonline.com/doi/pdf/10.1080/1551806X.2017.1304122	
2017	ARTICLES	“Remembering Seymour Papert .” LRB blog (London Review of Books), 24 February 2017.	https://www.lrb.co.uk/blog/2017/02/24/sherry-turkle/remembering-seymour-papert/	fetched
2016	ARTICLES	“In Tribute to John Forrester (1949-2015). ” American Imago, Vol. 73, No. 4, Winter 2016.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_In-Tribute-to-John-Forrester.pdf	fetched
2023	ARTICLES	“The Empathy Gap: Digital Culture Needs What Talk Therapy Offers. ” Psychotherapy Networker, November-December 2016. pp. 29-33, continued, 54-55. Reprinted in Women Reclaiming the City: International Research on Urbanism, Architecture, and Planning, Tigran Haas (ed.). New York: Rowman & Littlefield, 2023.	https://www.psychotherapynetworker.org/blog/details/1072/the-empathy-gap	fetched
2016	ARTICLES	“Democracy has a Darwinian Heart ” (with Perry Chen). Medium, November 21, 2016.	https://medium.com/@perrychen/democracy-has-a-darwinian-heart-f57ac7f7ae48#.tococmudv	
