openalex_id	year	title	venue	doi	cited_by	vincent_raw_name	verdict
W4392333192	2009	Introduction: The Record of 1204	Boydell and Brewer eBooks	https://doi.org/10.1515/9781846157554-004	0	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W72058487	2008	Did Henry II Have a Policy Towards the Earls?	Boydell and Brewer eBooks	https://doi.org/10.1515/9781846156793-004	1	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W2122689621	2008	Henry III of England and the Staufen Empire, 1216-1272	German History	https://doi.org/10.1093/gerhis/ghn030	0	N. Vincent	EXCLUDED (different person: medieval historian / other)
W2234696732	2008	The Wills of Godfrey and Henry of Helhoughton (1270 and 1274)	UEA Digital Repository (University of East Anglia)		0	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W4247857884	2008	Reviews of Books	The International History Review	https://doi.org/10.1080/07075332.2008.10416651	0	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W2157657787	2008	Discerning spirits. Divine and demonic possession in the Middle Ages. By Nancy Caciola. (Conjunctions of Religion and Power in the Medieval Past.) Pp. xvi+327 incl 23 ills. Cornell University Press2006 (first publ. 2003). $22.50 (paper). 13 978 0 8014 4084 7; 13 978 0 8014 7334 0	The Journal of Ecclesiastical History	https://doi.org/10.1017/s0022046907002734	0	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W4249881083	2008	Recueil des actes de Philippe-Auguste, roi de France, V: Supplément d'actes, actes perdus, additions et corrections aux précedénts volumes. Edited by Michel Nortier. (Chartes et Diplômes relatifs à l'Histoire de France.) Pp. ix+589. Paris: de Boccard, 2004. €100 (paper). 2 87754 153 3 - Recueil des actes de Philippe Auguste, roi de France, VI: Lettres mises sous le nom de Philippe Auguste dans les Recueils de formulaires d'école ou pouvant être considérées, quoique anonymes, comme lui ayant été attribuées. Edited by Michel Nortier. (Chartes et Diplômes relatifs à l'histoire de France publiés par les soins de l'Académie des Inscriptions et Belles-Lettres.) Pp. vii+216. Paris: de Boccard, 2005. €45 (paper). 2 87754 173 8	The Journal of Ecclesiastical History	https://doi.org/10.1017/s0022046907003223	0	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W1959989955	2007	The Magna Carta	Sotheby's eBooks		6	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W4392333014	2007	The Court of Henry II	Boydell and Brewer eBooks	https://doi.org/10.1515/9781846155536-015	4	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W1956407522	2007	A Forgotten War: England and Navarre, 1243–4	Boydell and Brewer eBooks	https://doi.org/10.1515/9781846155994-010	2	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W4392333090	2007	Introduction : Henry II and the Historians	Boydell and Brewer eBooks	https://doi.org/10.1515/9781846155536-004	2	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W2037916866	2007	The Holy Bureaucrat: Eudes Rigaud and Religious Reform in Thirteenth-Century Normandy (review)	Biography	https://doi.org/10.1353/bio.2007.0058	1	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W1905821874	2007	A Collection of Early Norman Charters in the British Library: The Case of Jeremiah Holmes Wiffen	UEA Digital Repository (University of East Anglia)		0	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W1971910731	2007	<i>Fourteenth Century England IV</i> ‐ Edited by J. S. Hamilton	History	https://doi.org/10.1111/j.1468-229x.2007.410_36.x	0	NICHOLAS VINCENT	EXCLUDED (different person: medieval historian / other)
W1987248831	2007	<i>Medieval Obscenities</i> ‐ Edited by Nicola McDonald	History	https://doi.org/10.1111/j.1468-229x.2007.394_4.x	0	NICHOLAS VINCENT	EXCLUDED (different person: medieval historian / other)
W1997220883	2007	<i>The Central Middle Ages: Europe 950–1320</i> Edited by Daniel Power	History	https://doi.org/10.1111/j.1468-229x.2007.401_16.x	0	NICHOLAS VINCENT	EXCLUDED (different person: medieval historian / other)
W2016760325	2007	<i>The foundations of medieval English ecclesiastical history. Studies presented to David Smith</i>. Edited by Philippa Hoskin, Christopher Brooke and Barrie Dobson. (Studies in the History of Medieval Religion.) Pp. xii+236 incl. frontispiece. Woodbridge: Boydell, 2005. £50. 1 84383 169 4; 0955 2480	The Journal of Ecclesiastical History	https://doi.org/10.1017/s0022046906459881	0	NICHOLAS VINCENT	EXCLUDED (different person: medieval historian / other)
W2075808548	2007	<i>Reading medieval culture. Essays in honor of Robert W. Hanning</i>. Edited by Robert Stein and Sandra Pierson Prior. Pp. xi+505 incl. 16 figs and 1 genealogical table. Notre Dame, I<scp>N</scp>: University of Notre Dame Press, 2005. $37.50. 0 268 04111 3	The Journal of Ecclesiastical History	https://doi.org/10.1017/s0022046906439889	0	NICHOLAS VINCENT	EXCLUDED (different person: medieval historian / other)
W22051110	2007	Reviews of Books	The International History Review	https://doi.org/10.1080/07075332.2007.9641122	0	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
