openalex_id	year	date	type	title	raw_authors	venue	doi	oa_status	cited_by	landing_url
W2936029423	2017	2017-01-01	article	Activity: Verify a Twitter Account	Mike Caulfield			closed	0	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/activity-verify-a-twitter-account/
W2936052629	2017	2017-01-01	article	How to Think about Research	Mike Caulfield			closed	0	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/how-to-think-about-research/
W2936200428	2017	2017-01-01	article	Why This Book	Mike Caulfield			closed	0	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/chapter-1/
W2937428119	2017	2017-01-01	article	Using Google Scholar to Check Author Expertise	Mike Caulfield			closed	0	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/using-google-scholar-to-check-author-expertise/
W2937592304	2017	2017-01-01	article	Using Buzzsumo to Find Highly Viral Stories	Mike Caulfield			closed	0	https://www.publiconsulting.com/wordpress/webliteracy/chapter/using-buzzsumo-to-find-highly-viral-stories/
W2937787356	2017	2017-01-01	article	Avoiding Confirmation Bias in Searches	Mike Caulfield			closed	0	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/avoiding-confirmation-bias-in-searches/
W2937834499	2017	2017-01-01	article	Using the Wayback Machine to Check for Page Changes	Mike Caulfield			closed	0	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/using-the-wayback-machine-to-check-for-page-changes/
W2937942748	2017	2017-01-01	article	Evaluating a Website or Publication’s Authority	Mike Caulfield			closed	2	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/evaluating-a-website-or-publications-reliability/
W2938099166	2017	2017-01-01	article	Fact-checking Sites	Mike Caulfield			closed	0	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/fact-checking-sites/
W2938398433	2017	2017-01-01	article	Tracking the Source of Viral Photos	Mike Caulfield			closed	0	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/tracking-the-source-of-viral-photo/
W2938480506	2017	2017-01-01	article	“Fact-Checking Sites” Image Descriptions	Mike Caulfield			closed	0	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/chapter-five-descriptions/
W2938491881	2017	2017-01-01	article	What Makes a Trustworthy News Source	Mike Caulfield			closed	0	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/what-makes-a-trustworthy-news-source/
W2938710987	2017	2017-01-01	article	Basic Techniques: Domain Searches, WHOIS	Mike Caulfield			closed	0	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/basic-techniques-domain-searches-source-checks-whois/
W2939993546	2017	2017-01-01	article	Activity: Spot Sponsored Content	Mike Caulfield			closed	0	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/activity-spot-sponsored-content/
W2940074320	2017	2017-01-01	article	What “Reading Laterally” Means	Mike Caulfield			closed	1	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/what-reading-laterally-means/
W2940153081	2017	2017-01-01	article	How DigiPo Defines a “Fact”	Mike Caulfield			closed	0	https://ecampusontario.pressbooks.pub/webliteracycaulfield/back-matter/how-digipo-defines-a-fact/
W2940288967	2017	2017-01-01	article	Stupid Journal Tricks	Mike Caulfield			closed	0	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/stupid-journal-tricks/
