openalex_id	year	type	title	venue	doi	oa_status	cited_by	has_abstract	file
W2056889450	2012	article	Gutenberg and the Samurai: Or, The Information Revolution is History	Anthropological Quarterly	https://doi.org/10.1353/anq.2012.0039	closed	14	yes	by/2012--gutenberg-and-the-samurai-or-the-information-revolution.md
W2328620744	2011	article	AHRConversation: Historical Perspectives on the Circulation of Information	The American Historical Review	https://doi.org/10.1086/ahr.116.5.1393	hybrid	58	yes	by/2011--ahr-conversation-circulation-of-information.md
W905128362	2011	article	Le funzioni storiche della pirateria intellettuale			closed	0	no	by/2011--le-funzioni-storiche-della-pirateria-intellettuale.md
W2495931231	2011	book-chapter	London and the early modern book	Cambridge University Press eBooks	https://doi.org/10.1017/ccol9780521897525.004	closed	2	yes	by/2011--london-and-the-early-modern-book.md
W2736293868	2011	article	Science books and networks in the Renaissance. An interview with Adrian Johns	Journal of Science Communication	https://doi.org/10.22323/2.10010302	diamond	0	yes	by/2011--jcom-science-books-and-networks-interview.md
W2333854026	2011	book-review	The Book in the Renaissance. By Andrew Pettegree. New Haven, CT: Yale University Press, 2010. Pp. xvi+421. $40.00.	The Journal of Modern History	https://doi.org/10.1086/662302	closed	0	no	by/2011--the-book-in-the-renaissance-by-andrew-pettegree.md
W2317949308	2011	article	The Book in, and as, American History	The New England Quarterly	https://doi.org/10.1162/tneq_r_00113	closed	1	yes	by/2011--the-book-in-and-as-american-history.md
W4239984766	2010	book-chapter	Ink	Materials and Expertise in Early Modern Europe	https://doi.org/10.7208/chicago/9780226439709.003.0005	closed	38	yes	by/2010--ink.md
W2003689687	2010	book-review	James Raven . The Business of Books: Booksellers and the English Book Trade, 1450‐1850 . New Haven : Yale University Press . 2007 . Pp. xviii, 493. $65.00.	The American Historical Review	https://doi.org/10.1086/ahr.115.1.287	closed	0	yes	by/2010--james-raven-the-business-of-books-booksellers-and.md
W13921512	2010	book-chapter	Language, practice, and history	Cambridge University Press eBooks	https://doi.org/10.1017/cbo9780511761577.004	closed	0	yes	by/2010--language-practice-and-history.md
W4243579288	2010	book-chapter	The Piratical Enlightenment	This Is Enlightenment	https://doi.org/10.7208/chicago/9780226761466.003.0016	closed	3	yes	by/2010--the-piratical-enlightenment.md
W2479084751	2009	book-chapter	Changes in the world of publishing	Cambridge University Press eBooks	https://doi.org/10.1017/chol9780521790079.018	closed	1	yes	by/2009--changes-in-the-world-of-publishing.md
W4235044996	2009	book	Piracy		https://doi.org/10.7208/chicago/9780226401201.001.0001	closed	262	no	by/2009--piracy-book.md
W1263864694	2009	article	Piracy as a Business Force	Culture machine		closed	30	yes	by/2009--piracy-as-a-business-force.md
W2517792280	2009	book-review	The Enlightenment and the Book: Scottish Authors and Their Publishers in Eighteenth-Century Britain, Ireland, and America. By Richard B. Sher. Chicago: University of Chicago Press, 2007. Pp. xxvi+815. $40.00.	The Journal of Modern History	https://doi.org/10.1086/605152	closed	0	no	by/2009--the-enlightenment-and-the-book-scottish-authors-and.md
W2007976332	2008	article	A Companion to the History of the Book (review)	Technology and Culture	https://doi.org/10.1353/tech.0.0086	closed	0	yes	by/2008--a-companion-to-the-history-of-the-book.md
W4245995357	2008	article	Coleman Street	Huntington Library Quarterly	https://doi.org/10.1525/hlq.2008.71.1.33	closed	4	no	by/2008--coleman-street.md
W2013412436	2008	article	When authorship met authenticity	Nature	https://doi.org/10.1038/4511058a	bronze	3	no	by/2008--when-authorship-met-authenticity.md
W2483989977	2006	book-chapter	Coffeehouses and Print Shops	Cambridge University Press eBooks	https://doi.org/10.1017/chol9780521572446.016	closed	17	yes	by/2006--coffeehouses-and-print-shops.md
W2026998847	2006	article	INTELLECTUAL PROPERTY AND THE NATURE OF SCIENCE	Cultural Studies	https://doi.org/10.1080/09502380500495643	closed	12	yes	by/2006--intellectual-property-and-the-nature-of-science.md
W2002361762	2005	article	HSS 2004 Program Report	Isis	https://doi.org/10.1086/447748	closed	1	no	by/2005--hss-2004-program-report.md
