date	post_id	title	url
2020-12-02	120962	Journal retracts 70-year-old article on homosexuality for “long discredited beliefs, prejudices, and practices”	https://retractionwatch.com/2020/12/02/journal-retracts-70-year-old-article-on-homosexuality-for-long-discredited-beliefs-prejudices-and-practices/
2020-11-28	120951	Weekend reads: Robots come to scientific publishing; questions about a COVID-19 vaccine; funding by lottery	https://retractionwatch.com/2020/11/28/weekend-reads-robots-come-to-scientific-publishing-questions-about-a-covid-19-vaccine-funding-by-lottery/
2020-11-27	120943	Johns Hopkins student newspaper deletes, then retracts, article on faculty member’s presentation about COVID-19 deaths	https://retractionwatch.com/2020/11/27/johns-hopkins-student-newspaper-deletes-then-retracts-article-on-faculty-members-presentation-about-covid-19-deaths/
2020-11-27	120939	Authors retract Nature paper after realizing some data were “calculated wrongly”	https://retractionwatch.com/2020/11/27/authors-retract-nature-paper-after-realizing-some-data-were-calculated-wrongly/
2020-11-24	120928	Former Harvard cancer researcher faked a dozen images, say Feds	https://retractionwatch.com/2020/11/24/former-harvard-cancer-researcher-faked-a-dozen-images-say-feds/
2020-11-21	120913	Weekend reads: Stem cell trouble?; retractions of articles on a newborn’s death; facial recognition papers draw scrutiny	https://retractionwatch.com/2020/11/21/weekend-reads-stem-cell-trouble-retractions-of-articles-on-a-newborns-death-facial-recognition-papers-draw-scrutiny/
2020-11-17	120872	Two and a half years after findings of misconduct, stem cell researchers up to 19 retractions	https://retractionwatch.com/2020/11/17/two-and-a-half-years-after-findings-of-misconduct-stem-cell-researchers-up-to-17-retractions/
2020-11-16	120868	Co-authors of paper on COVID-19 and jade amulets blame ‘the online press’ and social media for misinterpretation in retraction letter	https://retractionwatch.com/2020/11/16/co-authors-of-paper-on-covid-19-and-jade-amulets-blames-the-online-press-and-social-media-for-misinterpretation-in-retraction-letter/
2020-11-14	120862	Weekend reads: Hydroxychloroquine champion faces ethics charges; a serial plagiarist in philosophy; another author reaches 100 retractions	https://retractionwatch.com/2020/11/14/weekend-reads-hydroxychloroquine-champion-faces-ethics-charges-a-serial-plagiarist-in-philosophy-another-author-reaches-100-retractions/
2020-11-11	120841	Journal that published paper about a black hole at the center of Earth sinks into the void at a leading government database	https://retractionwatch.com/2020/11/11/journal-that-published-paper-about-a-black-hole-at-the-center-of-earth-sinks-into-the-void-at-a-leading-government-database/
2020-11-09	120823	Researcher leaves post at Australian university years after papers come under scrutiny	https://retractionwatch.com/2020/11/09/researcher-leaves-post-at-australian-university-years-after-papers-come-under-scrutiny/
2020-11-06	120814	Weekend reads: ‘The Hitchhiker’s Guide to Scholarly Research Integrity;’ amulet-COVID-19 paper retracted; bad science on voter fraud	https://retractionwatch.com/2020/11/06/weekend-reads-the-hitchhikers-guide-to-scholarly-research-integrity-amulet-covid-19-paper-retracted-bad-science-on-voter-fraud/
2020-10-31	120793	Weekend reads: A peer review murder mystery for Halloween; learning from #medbikini; inside the publishing ring that linked COVID-19 and 5G	https://retractionwatch.com/2020/10/31/weekend-reads-a-peer-review-murder-mystery-for-halloween-learning-from-medbikini-inside-the-publishing-ring-that-linked-covid-19-and-5g/
