date	post_id	title	url
2016-08-04	135395	Should science fraudsters have to serve jail time?	https://www.statnews.com/2016/08/04/fraud-science-jail-time/
2016-07-29	133268	A biostatistician’s death, and the unsung role of statistics in science	https://www.statnews.com/2016/07/29/biostatistician-statistics-science/
2016-07-21	130422	Thousands of studies used the wrong cells, and journals are doing nothing	https://www.statnews.com/2016/07/21/studies-wrong-cells/
2016-07-14	128304	With a new owner, the hated ‘journal impact factor’ is overdue for a change	https://www.statnews.com/2016/07/14/impact-factor-science-journals/
2016-07-07	126395	A new e-journal could be a ‘game-changer.’ But will scientists come?	https://www.statnews.com/2016/07/07/wellcome-trust-preprint/
2016-07-01	125088	Are science papers becoming too complex?	https://www.statnews.com/2016/07/01/research-papers-science-complex/
2016-06-24	122650	Do scientific fraudsters deserve a second chance?	https://www.statnews.com/2016/06/24/science-fraud-second-chance/
2016-06-17	120078	Does a journal of homeopathy belong in science?	https://www.statnews.com/2016/06/17/homeopathy-journal-thomson-reuters/
2016-06-10	118648	Science is stuck in bad patterns. Time to evolve	https://www.statnews.com/2016/06/10/science-evolve/
2016-06-01	115701	What does scientific reproducibility mean, anyway?	https://www.statnews.com/2016/06/01/reproducibility-science/
2016-05-27	114294	Should researchers publish their findings before peer review?	https://www.statnews.com/2016/05/27/preprint-biology-bioxriv/
2016-05-19	111958	Why a drug that lowers cholesterol doesn’t save lives	https://www.statnews.com/2016/05/19/cholesterol-drug-cetp-inhibitors/
2016-05-12	109563	Why scientists should learn to fail, fast and often	https://www.statnews.com/2016/05/12/failure-scientists/
2016-05-05	106803	For science to improve, let’s put the right prizes on offer	https://www.statnews.com/2016/05/05/incentives-science/
2016-04-29	104593	Seeing double: Duplicated images plague research papers	https://www.statnews.com/2016/04/29/duplicated-images-research-papers/
2016-04-21	103116	Want a favorable peer review? Buy one	https://www.statnews.com/2016/04/21/peer-review-process/
2016-04-14	67211	Why our peer review system is a toothless watchdog	https://www.statnews.com/2016/04/14/peer-review-watchdog/
2016-04-05	55046	When universities stonewall investigations of research misconduct	https://www.statnews.com/2016/04/05/universities-research-misconduct/
2016-03-29	52485	NFL, take note: Calls for retraction are usually a bad idea	https://www.statnews.com/2016/03/29/concussion-retractions-nfl/
2016-03-25	51048	Why science would benefit from being self-refereed	https://www.statnews.com/2016/03/25/science-self-refereed/
2016-03-18	48777	Why scientific fraud hurts people	https://www.statnews.com/2016/03/18/scientific-fraud/
2016-03-11	46081	Why did this potential Alzheimer’s drug timeline keep shifting?	https://www.statnews.com/2016/03/11/alzheimers-drug-timeline-shifting/
2016-03-02	41366	Female medical researchers hit a paper ceiling	https://www.statnews.com/2016/03/02/women-authors-medical-journals/
2016-02-26	39582	Scientists are cynical. Can you blame them?	https://www.statnews.com/2016/02/26/scientists-cynical/
2016-02-16	36404	Science, get over yourself: Zika data-sharing should be the norm, not the exception	https://www.statnews.com/2016/02/16/zika-data-sharing/
2016-02-10	34445	Press releases stink. Here’s why that matters	https://www.statnews.com/2016/02/10/press-releases-stink/
2016-02-03	32237	Why is it so damn hard to get a paper retracted?	https://www.statnews.com/2016/02/03/paper-retracted/
2016-01-26	29337	Criticism of ‘research parasites’ moves NEJM in the wrong direction	https://www.statnews.com/2016/01/26/research-parasites-nejm/
