date	title	source_url	status
2014-07-03	The right to be forgotten	https://weinberger.org/content/kmworld/dw-col-pages/2014-07-03-kmworld.html	fetched
2014-05-28	Thingy words	https://weinberger.org/content/kmworld/dw-col-pages/2014-05-28-kmworld.html	not fetched (404 at author archive)
2014-04-29	Just enough over my head	https://weinberger.org/content/kmworld/dw-col-pages/2014-04-29-kmworld.html	fetched
2014-03-31	The future of books	https://weinberger.org/content/kmworld/dw-col-pages/2014-03-31-kmworld.html	fetched
2014-03-01	Moving beyond credentials	https://weinberger.org/content/kmworld/dw-col-pages/2014-03-01-kmworld.html	fetched
2014-01-31	Hogwash or science: Tags are messy and useful	https://weinberger.org/content/kmworld/dw-col-pages/2014-01-31-kmworld.html	fetched
2013-12-31	Unexpected expertise	https://weinberger.org/content/kmworld/dw-col-pages/2013-12-31-kmworld.html	fetched
2013-10-29	Bad comments are your fault	https://weinberger.org/content/kmworld/dw-col-pages/2013-10-29-kmworld.html	fetched
2013-09-29	The history of technology	https://weinberger.org/content/kmworld/dw-col-pages/2013-09-29-kmworld.html	not fetched (404 at author archive)
2013-09-01	What the Web hides from us	https://weinberger.org/content/kmworld/dw-col-pages/2013-09-01-kmworld.html	fetched
2013-07-05	A limit to business intelligence?	https://weinberger.org/content/kmworld/dw-col-pages/2013-07-05-kmworld.html	fetched
2013-05-28	Technodeterminism	https://weinberger.org/content/kmworld/dw-col-pages/2013-05-28-kmworld.html	fetched
2013-04-29	The failure to attribute	https://weinberger.org/content/kmworld/dw-col-pages/2013-04-29-kmworld.html	fetched
2013-03-31	The efficiency of partisan news	https://weinberger.org/content/kmworld/dw-col-pages/2013-03-31-kmworld.html	fetched
2013-03-01	Academic writing	https://weinberger.org/content/kmworld/dw-col-pages/2013-03-01-kmworld.html	fetched
2013-01-31	Progress and knowledge	https://weinberger.org/content/kmworld/dw-col-pages/2013-01-31-kmworld.html	fetched
2012-12-31	The knowledge platform	https://weinberger.org/content/kmworld/dw-col-pages/2012-12-31-kmworld.html	fetched
2012-10-30	Understanding big data vs. theory	https://weinberger.org/content/kmworld/dw-col-pages/2012-10-30-kmworld.html	fetched
2012-09-29	Your business needs scholars	https://weinberger.org/content/kmworld/dw-col-pages/2012-09-29-kmworld.html	fetched
2012-09-01	How meaning stuck ...	https://weinberger.org/content/kmworld/dw-col-pages/2012-09-01-kmworld.html	fetched
2012-07-05	Interoperability as a worldview	https://weinberger.org/content/kmworld/dw-col-pages/2012-07-05-kmworld.html	fetched
2012-05-28	Why is the Web so funny?	https://weinberger.org/content/kmworld/dw-col-pages/2012-05-28-kmworld.html	fetched
2012-04-29	Where facts become data	https://weinberger.org/content/kmworld/dw-col-pages/2012-04-29-kmworld.html	fetched
2012-03-31	The problems with facts	https://weinberger.org/content/kmworld/dw-col-pages/2012-03-31-kmworld.html	fetched
2012-03-01	Learning like a developer learns	https://weinberger.org/content/kmworld/dw-col-pages/2012-03-01-kmworld.html	fetched
2012-02-01	Who cares about knowledge?	https://weinberger.org/content/kmworld/dw-col-pages/2012-02-01-kmworld.html	fetched
2012-01-01	Curating abundance	https://weinberger.org/content/kmworld/dw-col-pages/2012-01-01-kmworld.html	fetched
2011-10-29	Letting data out of its box	https://weinberger.org/content/kmworld/dw-col-pages/2011-10-29-kmworld.html	fetched
2011-09-29	Framing the Net, or being framed?	https://weinberger.org/content/kmworld/dw-col-pages/2011-09-29-kmworld.html	fetched
2011-09-01	The wisdom of impractical knowledge	https://weinberger.org/content/kmworld/dw-col-pages/2011-09-01-kmworld.html	fetched
2011-07-05	Open data commons for business	https://weinberger.org/content/kmworld/dw-col-pages/2011-07-05-kmworld.html	fetched
2011-05-28	DPLA: a good idea that has a shot	https://weinberger.org/content/kmworld/dw-col-pages/2011-05-28-kmworld.html	fetched
2011-05-01	The human drive of tech	https://weinberger.org/content/kmworld/dw-col-pages/2011-05-01-kmworld.html	fetched
2011-04-01	The Cloud way of life	https://weinberger.org/content/kmworld/dw-col-pages/2011-04-01-kmworld.html	fetched
2011-03-01	Revolution and the Net	https://weinberger.org/content/kmworld/dw-col-pages/2011-03-01-kmworld.html	fetched
2011-02-01	Explaining the Net's dominance	https://weinberger.org/content/kmworld/dw-col-pages/2011-02-01-kmworld.html	fetched
2011-01-01	Structure is coming back	https://weinberger.org/content/kmworld/dw-col-pages/2011-01-01-kmworld.html	fetched
2010-10-29	The amateur ecology	https://weinberger.org/content/kmworld/dw-col-pages/2010-10-29-kmworld.html	fetched
2010-09-29	The underutilized resource beyond lists	https://weinberger.org/content/kmworld/dw-col-pages/2010-09-29-kmworld.html	fetched
2010-09-01	The long form of webby knowledge	https://weinberger.org/content/kmworld/dw-col-pages/2010-09-01-kmworld.html	fetched
2010-07-03	Waiting for the fluid book format	https://weinberger.org/content/kmworld/dw-col-pages/2010-07-03-kmworld.html	fetched
2010-05-28	A lot to hate ...But PowerPoint brings order to unruly thoughts	https://weinberger.org/content/kmworld/dw-col-pages/2010-05-28-kmworld.html	fetched
2010-04-01	Authority as a market	https://weinberger.org/content/kmworld/dw-col-pages/2010-04-01-kmworld.html	fetched
