date	title	url	contributor_ids
2020-02-10	Can you hear me now?	https://theworld.org/stories/2020/02/10/can-you-hear-me-now-2	19133
2020-01-29	The myth of the gendered brain	https://theworld.org/stories/2020/01/29/myth-gendered-brain	19190
2020-01-14	How Wikipedia’s volunteer army combats misinformation in the ‘post-truth’ era	https://theworld.org/stories/2020/01/14/wikipedia-s-volunteer-army	19133
2019-12-19	The power of conservative talk radio	https://theworld.org/stories/2019/12/19/power-conservative-talk-radio	19133
2019-12-10	Why ‘fast fashion’ might need to slow down	https://theworld.org/stories/2019/12/10/why-fast-fashion-might-need-slow-down	16544
2019-11-18	The science behind our compulsion to be good	https://theworld.org/stories/2019/11/18/science-behind-our-compulsion-be-good	19190
2019-11-11	Health care reform: The ‘insurance company model’ is flawed, says historian	https://theworld.org/stories/2019/11/11/health-care-reform-insurance-company-model-flawed-says-historian	13377
2019-11-01	Remember ‘reduce, reuse, recycle’? Humans actually are reducing, expert says.	https://theworld.org/stories/2019/11/01/remember-reduce-reuse-recycle-humans-actually-are-reducing-expert-says	19190
2019-10-22	Feeling lonely? You’ve got company.	https://theworld.org/stories/2019/10/22/feeling-lonely-you-ve-got-company	19190
2019-10-14	In a culture of selfies and social media, how do you check your ego?	https://theworld.org/stories/2019/10/14/culture-selfies-and-social-media-how-do-you-check-your-ego	19190
2019-09-23	The real cost of expensive housing	https://theworld.org/stories/2019/09/23/real-cost-expensive-housing	19133
2019-09-16	A North Dakota law gives school districts a chance to experiment	https://theworld.org/stories/2019/09/16/reinventing-schools-era-innovation	13377
2019-09-09	Opponents of FDR’s New Deal called it a ‘disaster’	https://theworld.org/stories/2019/09/09/opponents-fdrs-new-deal-called-it-disaster	19133
2019-08-09	How did tourism become so popular?	https://theworld.org/stories/2019/08/09/how-did-tourism-become-so-popular	19133
2019-08-02	The economics of risk taking in the workplace	https://theworld.org/stories/2019/08/02/placeholder-title	18973
2019-07-19	How the race for nuclear power began	https://theworld.org/stories/2019/07/19/how-race-nuclear-power-began	19087
2019-07-12	As the American wage gap grows, workers of color are being left behind	https://theworld.org/stories/2019/07/12/american-wage-gap-grows-workers-color-are-being-left-behind	13377
2019-06-21	Can we improve the way we age?	https://theworld.org/stories/2019/06/21/can-we-improve-way-we-age	18963
2019-06-17	The advantage of being a generalist	https://theworld.org/stories/2019/06/17/advantage-being-generalist	19087
2019-06-07	The life and inspiration of Dr. Seuss	https://theworld.org/stories/2019/06/07/life-and-inspiration-dr-seuss	18973
2019-06-03	America’s polarized politics may be here to stay	https://theworld.org/stories/2019/06/03/americas-polarized-politics-may-be-here-stay	13377
2019-05-29	How do we forget what was once famous?	https://theworld.org/stories/2019/05/29/how-do-we-forget-what-was-once-famous	18963
2019-05-21	How do our brains react to drugs? A former addict turned neuroscientist explains.	https://theworld.org/stories/2019/05/21/how-do-our-brains-react-drugs-former-addict-turned-neuroscientist-explains	18973
2019-05-06	Gene therapy is a game changer for medicine — but comes with a hefty price tag	https://theworld.org/stories/2019/05/06/genetics-breakthroughs-lead-more-effective-medicine-and-theres-still-more-come	18963
2019-04-15	This author says that innovative ideas — ‘loonshots’ — are too often shut down	https://theworld.org/stories/2019/04/15/loons-shoot-moon	18973
2019-04-09	From fashion to tools, animal behaviors are often surprisingly human	https://theworld.org/stories/2019/04/09/fashion-tools-animal-behaviors-are-often-surprisingly-human	18963
2019-04-01	The electric guitar wasn’t built for rock musicians	https://theworld.org/stories/2019/04/01/electric-guitar-wasnt-built-rock-musicians	18973
2019-03-15	Why history’s most famous scientists are usually a bit weird	https://theworld.org/stories/2019/03/15/her-new-book-quirky-author-melissa-schilling-shows-how-famous-scientists-can	13377
