id	year	date	type	title	venue	doi	oa_status	is_oa	oa_url	cited	n_authors	author_pos	has_abstract
W2767945620	2017	2017-11-01	article	Four ethical priorities for neurotechnologies and AI	Nature	https://doi.org/10.1038/551159a	bronze	True	https://www.nature.com/articles/551159a.pdf	638	25	3	False
W2757467360	2017	2017-09-29	article	Art in the Age of Machine Intelligence	Arts	https://doi.org/10.3390/arts6040018	gold	True	https://www.mdpi.com/2076-0752/6/4/18/pdf?version=1509955414	44	1	1	True
W2770078645	2017	2017-11-29	preprint	Now Playing: Continuous low-power music recognition	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.1711.10958	green	True	https://arxiv.org/pdf/1711.10958	21	11	1	True
W4318619660	2016	2016-02-17	preprint	Communication-Efficient Learning of Deep Networks from Decentralized\n Data	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.1602.05629	green	True	https://arxiv.org/pdf/1602.05629	5645	5	5	True
W2541884796	2016	2016-02-17	preprint	Communication-Efficient Learning of Deep Networks from Decentralized Data	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.1602.05629	green	True	https://arxiv.org/pdf/1602.05629	5180	5	5	True
W2283463896	2016	2016-02-17	preprint	Federated Learning of Deep Networks using Model Averaging	arXiv (Cornell University)		green	True	https://arxiv.org/pdf/1602.05629v1	984	4	4	True
W2244057747	2015	2015-11-05	conference-abstract	Machine Intelligence and Human Intelligence		https://doi.org/10.1145/2807442.2814655	closed	False		0	1	1	True
W2043177810	2012	2012-08-12	conference-paper	Transparent user models for personalization		https://doi.org/10.1145/2339530.2339639	closed	False		21	5	5	True
W1996954534	2007	2007-10-30	article	Single Neuron Computation: From Dynamical System to Feature Detector	Neural Computation	https://doi.org/10.1162/neco.2007.19.12.3133	closed	False		59	3	2	True
W2950898233	2006	2006-12-13	preprint	Single neuron computation: from dynamical system to feature detector	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.q-bio/0612025	green	True	https://arxiv.org/pdf/q-bio/0612025	2	3	2	True
W2119533571	2003	2003-07-16	article	Computation in a Single Neuron: Hodgkin and Huxley Revisited	Neural Computation	https://doi.org/10.1162/08997660360675017	closed	False		165	3	1	True
W2125617977	2003	2003-07-16	article	What Causes a Neuron to Spike?	Neural Computation	https://doi.org/10.1162/08997660360675044	closed	False		125	2	1	True
W2950669776	2003	2003-01-09	preprint	What causes a neuron to spike?	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.physics/0301014	green	True	https://arxiv.org/pdf/physics/0301014	1	2	1	True
W2950645683	2002	2002-12-31	preprint	Computation in a single neuron: Hodgkin and Huxley revisited	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.physics/0212113	green	True	https://arxiv.org/pdf/physics/0212113	0	3	1	True
W1511397260	2001	2001-06-28	article	Archaeology of type	Nature	https://doi.org/10.1038/35082698	bronze	True	https://www.nature.com/articles/35082698.pdf	4	2	1	False
W2108674742	2000	2000-01-01	article	What Can a Single Neuron Compute	neural information processing systems		closed	False		26	3	1	True
W1981995596	1998	1998-08-03	article	Response regulator output in bacterial chemotaxis	The EMBO Journal	https://doi.org/10.1093/emboj/17.15.4238	bronze	True	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1093/emboj/17.15.4238	232	7	4	False
W7113960904			article	What is intelligence? lessons from AI about evolution, computing, and minds			closed	False		0	1	1	True
