section	kind	title	meta	url	status	dossier_file
Features	Read	This author dispels the myth of ‘AI gaydar’	LGBTQ Nation	https://www.lgbtqnation.com/2023/11/this-author-dispels-the-myth-of-ai-gaydar/	not-fetched	
Features	Read	What New Data Reveals About Our Sex Lives	Psychology Today	https://www.psychologytoday.com/us/blog/the-elusive-brain/202311/what-does-data-tell-us-about-american-sex-lives	fetched	about/2023--psychologytoday-what-new-data-reveals-about-our-sex-lives.md
Podcasts	Listen	Should A.I. Move to Space?	Freakonomics Radio	https://freakonomics.com/podcast/should-a-i-move-to-space/	fetched	by/2026--freakonomics-should-ai-move-to-space.md
Podcasts	Listen	Our Machines Evolved From Us (with Blaise Agüera y Arcas and Carlo Rovelli)	Futurology	https://youtu.be/tDccIoz-SFI?si=fytMcntM9EfoLkx6	noted-in-video-md	
Podcasts	Listen	The Next Leap For Intelligence	Where The Internet Lives	https://datacenters.google/podcast/the-next-leap-for-intelligence/	noted-in-video-md	
Podcasts	Listen	Blaise Agüera y Arcas: why AI really is intelligent	Babbage	https://www.economist.com/podcasts/2025/11/26/blaise-aguera-y-arcas-why-ai-really-is-intelligent	noted-in-video-md	
Podcasts	Listen	AGI Symbiosis and the Arrow of Intelligence	The Trajectory with Dan Faggella	https://youtu.be/mAtjedPGmME?si=RmTlNiNM-n9EAs4s	noted-in-video-md	
Podcasts	Listen	Blaise Agüera y Arcas: What is Intelligence?	Closer To Truth	https://www.youtube.com/watch?v=qqhEEovtKgw	noted-in-video-md	
Podcasts	Listen	Google Researcher Shows Life  “Emerges From Code”	Machine Learning Street Talk	https://www.youtube.com/watch?v=rMSEqJ_4EBk	noted-in-video-md	
Podcasts	Listen	Can Machines Really Feel Joy or Is It Just Code?	Into The Impossible	https://youtu.be/h2egH3mVNRY?si=68EXMMNEYQMPAclP	noted-in-video-md	
Podcasts	Listen	Blaise Agüera y Arcas on AI, Consciousness, and the Concept of Intelligence	Responsible AI from The AI Forum	https://youtu.be/Rdx9zAwhnXg?si=RYDW_wDvauypmXeu	noted-in-video-md	
Podcasts	Listen	What AI can teach us about evolution, computing and the mind	KPCW Cool Science Radio	https://www.kpcw.org/show/cool-science-radio/2025-07-31/what-ai-can-teach-us-about-evolution-computing-and-the-mind	noted-in-video-md	
Podcasts	Listen	Can the artificial really be 'intelligent'? This researcher wants us to think bigger	KUOW Soundside	https://www.kuow.org/stories/can-the-artificial-really-be-intelligent-this-rese	noted-in-video-md	
Podcasts	Listen	Blaise Agüera y Arcas and Michael Levin: The Computational Foundations of Life and Intelligence	Artificiality	https://artificialityinstitute.org/blaise-aguera-y-arcas-and-michael-levin-the-computational-foundations-of-life-and-intelligence/?utm_medium=social&utm_source=linktree&utm_campaign=artificiality%3A+the+computational+foundations+of+life+and+intelligence	noted-in-video-md	
Podcasts	Listen	What Is Life? Round 2 with Blaise Agüera y Arcas	Invisible Machines	https://open.spotify.com/episode/52ulpacj0xEsy12giFiqL9?si=CMHwl2grRs62P3GJk_gbpw	noted-in-video-md	
Podcasts	Listen	Interspecies Thinking: AI and collective intelligence	Interspecies Future	https://open.spotify.com/episode/3q54wqlMGvAxOqaEhrCdbH?si=xVqrkBngQcK2nbMPRXPETg	noted-in-video-md	
Podcasts	Listen	LIFE	Disintegrator	https://open.spotify.com/episode/4f6Hhy2XMWIsawDmGBUMPH?si=V6aJ0VYcS32G4_vHjEkqAw	noted-in-video-md	
Podcasts	Listen	Blaise Agüera y Arcas on the Emergence of Replication and Computation	Sean Carroll's Mindscape Podcast	https://www.preposterousuniverse.com/podcast/2024/08/19/286-blaise-aguera-y-arcas-on-the-emergence-of-replication-and-computation/	fetched	by/2024--mindscape-286-emergence-of-replication-and-computation.md
Podcasts	Listen	What is artificial general intelligence?	Babbage	https://www.economist.com/podcasts/2024/09/04/what-is-artificial-general-intelligence?utm_campaign=shared_article	noted-in-video-md	
Podcasts	Listen	Are Our Tools Becoming Part of Us?	People I (Mostly) Admire	https://freakonomics.com/podcast/are-our-tools-becoming-part-of-us/	fetched	by/2024--people-i-mostly-admire-are-our-tools-becoming-part-of-us.md
Podcasts	Listen	The Data, The Divide, and The Future: A Conversation with Blaise Agüera y Arcas	Signal with Mory & Melissa	https://podcasts.apple.com/us/podcast/the-data-the-divide-and-the-future-a/id1600566734?i=1000645276345	noted-in-video-md	
Podcasts	Listen	Identity and Collective Intelligence	Invisible Machines	https://open.spotify.com/episode/4scx2QspGNqfKA6L6nZiCp?si=V1Pvs3xnTvS2v-9L63GE-A	noted-in-video-md	
Podcasts	Listen	Sex & Politics #22: Blaise Agüera y Arcas	Savage Lovecast	https://savage.love/lovecast/2023/08/24/sex-politics-22-blaise-aguera-y-arcas/	noted-in-video-md	
Podcasts	Listen	Will AI achieve consciousness?	Babbage	https://www.economist.com/podcasts/2022/08/16/will-ai-achieve-consciousness?utm_medium=social-media.content.np&utm_source=twitter&utm_campaign=editorial-social&utm_content=discovery.content	noted-in-video-md	
Podcasts	Listen	Debunking Myths in Technology: Intelligence, Survival, Sexuality with Blaise Agüera y Arcas	The Good Robot	https://open.spotify.com/episode/4Cs7tBUnEsxPmMrZ18Baar?si=zVAu9jCCQZeLo1yLVrxqNg	noted-in-video-md	
Podcasts	Listen	AI, Movable Type, & Federated Learning, with Blaise Agüera y Arcas	Carnegie Council Podcasts	https://carnegiecouncil.org/media/series/aiei/20220119-ai-movable-type-federated-learning-blaise-aguera-y-arcas	fetched	by/2022--carnegie-council-ai-movable-type-federated-learning.md
Podcasts	Listen	Social Intelligence with Blaise Agüera y Arcas	The TWIML AI Podcast	https://twimlai.com/podcast/twimlai/social-intelligence-blaise-aguera-y-arcas/	noted-in-video-md	
Podcasts	Listen	Daniel Dennett on the Evolution of the Mind, Consciousness and AI	Intelligence Squared	https://www.intelligencesquared.com/events/daniel-dennett-on-the-evolution-of-the-mind-consciousness-and-ai/	noted-in-video-md	
Podcasts	Listen	With Google powerhouse, Blaise Agüera y Arcas.	Savage Lovecast	https://savage.love/lovecast/2017/11/28/with-google-powerhouse-blaise-aguera-y-arcas/#.WsqqgmaZPBI	noted-in-video-md	
Podcasts	Listen	The Sex Robots are Coming!!!	Savage Lovecast Magnum	https://savage.love/lovecast/2016/11/22/the-sex-robots-are-coming/#.WD3sO6IrLBI	noted-in-video-md	
Essays & Op-Eds	Read	Agentic AI and the next intelligence explosion	By Blaise Agüera y Arcas, Benjamin Bratton and James Evans / Science | March 2026	https://www.science.org/doi/10.1126/science.aeg1895	fetched	by/2026--agentic-ai-next-intelligence-explosion.md
Essays & Op-Eds	Read	The Silicon Interior	By Blaise Agüera y Arcas, Benjamin Bratton and James Evans / Antikythera Substack | February 2026	https://antikythera.substack.com/p/the-silicon-interior	fetched	by/2026--antikythera-the-silicon-interior.md
Essays & Op-Eds	Read	What is the future of intelligence? The answer could lie in the story of its evolution	By Blaise Agüera y Arcas / Nature	https://www.nature.com/articles/d41586-025-03857-0	fetched	by/2025--nature-future-of-intelligence-evolution.md
Essays & Op-Eds	Read	Is Life a Form of Computation?	By Blaise Agüera y Arcas / The MIT Press Reader | September 2025	https://thereader.mitpress.mit.edu/is-life-a-form-of-computation/	fetched	by/2025--mitpress-reader-is-life-a-form-of-computation.md
Essays & Op-Eds	Read	Consciousness Across Three Worldviews	By Swami Sarvapriyananda, Blaise Agüera y Arcas and Carlo Rovelli / Noema Magazine | September 2025	https://www.noemamag.com/consciousness-across-three-worldviews/	fetched	by/2025--noema-consciousness-across-three-worldviews.md
Essays & Op-Eds	Read	Life, Intelligence, and Consciousness: A Functional Perspective	by Blaise Agüera y Arcas / Long Now Ideas | August 2025	https://longnow.org/ideas/life-intelligence-consciousness/	fetched	by/2025--longnow-life-intelligence-consciousness.md
